Method,Suspiciousness
sympy.printing.printer.Printer._print(),1.0
sympy.interactive.printing._init_ipython_printing(),0.86105555
sympy.printing.latex.LatexPrinter._print_Mul(),0.8194903
sympy.interactive.printing.init_printing(),0.7933
sympy.utilities.lambdify.lambdify(),0.73751616
sympy.printing.str.StrPrinter._print_Pow(),0.6805513
sympy.interactive.session.init_session(),0.6661939
sympy.printing.latex.latex(),0.6639806
sympy.printing.pycode.AbstractPythonCodePrinter._hprint_Pow(),0.64355356
sympy.physics.vector.printing.vlatex(),0.6322971
sympy.printing.pycode.pycode(),0.61354446
sympy.physics.vector.printing.vsprint(),0.6012494
sympy.core.sympify.sympify(),0.59323704
sympy.printing.latex.multiline_latex(),0.5911927
sympy.physics.vector.printing.VectorLatexPrinter._print_Function(),0.59097934
sympy.printing.latex.LatexPrinter._print_Poly(),0.5706558
sympy.printing.lambdarepr.LambdaPrinter._print_Pow(),0.56471455
sympy.physics.vector.printing.init_vprinting(),0.564058
sympy.physics.vector.printing.vpprint(),0.5621066
sympy.physics.vector.printing.vprint(),0.55755764
sympy.core._print_helpers.Printable._repr_latex_(),0.5502345
sympy.physics.quantum.qexpr.QExpr._sympystr(),0.54889107
sympy.printing.preview.preview(),0.53970677
sympy.printing.codeprinter.ccode(),0.53964984
sympy.printing.glsl.GLSLPrinter._print_Mul(),0.5387193
sympy.printing.codeprinter.CodePrinter._doprint_loops(),0.5379526
sympy.printing.codeprinter.fcode(),0.5267026
sympy.physics.vector.printing.vsstrrepr(),0.523418
sympy.printing.latex.LatexPrinter._print_Function(),0.52102137
sympy.printing.glsl.glsl_code(),0.51537436
sympy.parsing.latex.__init__.parse_latex(),0.5074441
sympy.printing.latex.LatexPrinter._print_Add(),0.50508344
sympy.printing.pycode.NumPyPrinter._print_And(),0.5024258
sympy.printing.pycode.NumPyPrinter._print_Or(),0.5024258
sympy.printing.glsl.GLSLPrinter._print_Add(),0.50104135
sympy.printing.c._as_macro_if_defined(),0.5002113
sympy.plotting.experimental_lambdify.Lambdifier.__init__(),0.49768192
sympy.printing.fortran.FCodePrinter._print_Mod(),0.49347433
sympy.printing.latex.LatexPrinter._print_Pow(),0.49210104
sympy.polys.domains.domain.Domain.to_sympy(),0.49054888
sympy.printing.pycode.NumPyPrinter._print_Not(),0.48869088
sympy.simplify.simplify.simplify(),0.48485735
sympy.printing.python.python(),0.4832384
sympy.printing.latex.LatexPrinter._print_Integral(),0.48212203
sympy.printing.rcode.rcode(),0.48187128
sympy.printing.mathml.print_mathml(),0.48156407
sympy.testing.runtests.run_all_tests(),0.48043123
sympy.utilities.lambdify.lambdastr(),0.4767541
sympy.parsing.sympy_parser.parse_expr(),0.47619078
sympy.printing.latex.LatexPrinter.emptyPrinter(),0.47562343
sympy.printing.rust.rust_code(),0.47318658
sympy.utilities.codegen.codegen(),0.47287416
sympy.printing.latex.LatexPrinter._print_Cycle(),0.47122815
sympy.testing.runtests.test(),0.47120106
sympy.core.function.Subs.__new__(),0.47092685
sympy.printing.jscode.jscode(),0.46967643
sympy.printing.fortran.FCodePrinter._print_Add(),0.46657735
sympy.printing.latex.LatexPrinter._print_bell(),0.46641272
sympy.testing.runtests._get_doctest_blacklist(),0.46545106
sympy.printing.llvmjitcode.llvm_callable(),0.46527633
sympy.printing.latex.LatexPrinter.__print_number_polynomial(),0.46494475
sympy.physics.quantum.tensorproduct.TensorProduct._latex(),0.46485433
sympy.printing.latex.LatexPrinter._print_elliptic_pi(),0.46472642
sympy.printing.mathml.MathMLContentPrinter._print_Mul(),0.4614927
sympy.printing.theanocode.theano_function(),0.4597031
sympy.printing.pycode.NumPyPrinter._print_Piecewise(),0.45824656
sympy.printing.latex.LatexPrinter._print_Derivative(),0.45823014
sympy.printing.latex.LatexPrinter._print_DiracDelta(),0.45819688
sympy.functions.elementary.complexes.adjoint._latex(),0.4574956
sympy.parsing.ast_parser.parse_expr(),0.45721665
sympy.printing.repr.ReprPrinter.emptyPrinter(),0.45708117
sympy.utilities.codegen.CodeGen._get_symbol(),0.4540205
sympy.printing.codeprinter.CodePrinter._print_NumberSymbol(),0.45287123
sympy.printing.dot.dotprint(),0.4523782
sympy.printing.latex.LatexPrinter._print_elliptic_e(),0.45233107
sympy.printing.latex.LatexPrinter._print_Sum(),0.45109895
