Method,Suspiciousness
sympy.simplify.fu.TRmorrie(),1.0
sympy.vector.vector.Vector._projections(),0.8898924
sympy.vector.deloperator.Del.cross(),0.88421226
sympy.vector.vector.Vector.to_matrix(),0.84156
sympy.physics.vector.vector.Vector.to_matrix(),0.8368035
sympy.core.power.Pow.as_real_imag(),0.83128124
sympy.vector.deloperator.Del.dot(),0.8146414
sympy.physics.vector.frame.ReferenceFrame.__init__(),0.79853255
sympy.physics.optics.polarization.jones_vector(),0.7881164
sympy.vector.functions.orthogonalize(),0.78620636
sympy.vector.deloperator.Del.gradient(),0.7800325
sympy.physics.optics.polarization.stokes_vector(),0.76931554
sympy.physics.vector.vector.Vector.diff(),0.7671245
sympy.vector.vector.Vector.dot(),0.7554843
sympy.vector.functions.laplacian(),0.7551109
sympy.physics.vector.vector.Vector.angle_between(),0.75470865
sympy.physics.vector.functions.partial_velocity(),0.73682463
sympy.physics.vector.vector.Vector._pretty(),0.73431003
sympy.vector.coordsysrect.CoordSys3D.orient_new_quaternion(),0.7158527
sympy.vector.orienters.QuaternionOrienter.__init__(),0.713386
sympy.vector.coordsysrect.CoordSys3D.create_new(),0.7057206
sympy.physics.wigner.racah(),0.70421547
sympy.vector.coordsysrect.CoordSys3D.rotation_matrix(),0.69951195
sympy.core.exprtools.factor_nc(),0.6820596
sympy.physics.wigner._big_delta_coeff(),0.6727959
sympy.vector.functions.express(),0.6667656
sympy.physics.mechanics.functions.inertia_of_point_mass(),0.66250193
sympy.interactive.printing.init_printing(),0.6593872
sympy.matrices.subspaces._orthogonalize(),0.6590199
sympy.physics.vector.functions.cross(),0.65753293
sympy.simplify.sqrtdenest._sqrt_symbolic_denest(),0.657036
sympy.vector.operators.curl(),0.656256
sympy.vector.coordsysrect.CoordSys3D.scalar_map(),0.65165544
sympy.printing.pretty.pretty.PrettyPrinter._print_Cross(),0.64366865
sympy.physics.vector.vector.Vector._latex(),0.6378549
sympy.vector.dyadic.Dyadic.to_matrix(),0.63695985
sympy.vector.operators.divergence(),0.63501185
sympy.physics.vector.vector.Vector._sympystr(),0.6336747
sympy.stats.crv_types.RaisedCosine(),0.61750203
sympy.diffgeom.diffgeom.vectors_in_basis(),0.61086273
sympy.interactive.session.init_session(),0.60819364
sympy.physics.mechanics.functions.center_of_mass(),0.6067988
sympy.stats.crv_types.VonMises(),0.6063206
sympy.polys.polytools.Poly.same_root(),0.60044205
sympy.physics.wigner.wigner_d_small(),0.59971666
sympy.utilities.iterables.capture(),0.5993693
