Method,Suspiciousness
sympy.interactive.printing.init_printing(),1.0
sympy.combinatorics.permutations.Permutation.next_trotterjohnson(),0.91241944
sympy.printing.latex.latex(),0.88887954
sympy.core.numbers.comp(),0.8524946
sympy.interactive.session.init_session(),0.81856334
sympy.simplify.fu.TR4(),0.81561565
sympy.core.expr.Expr.extract_branch_factor(),0.81083363
sympy.core.basic.Basic.atoms(),0.7960584
sympy.sets.fancysets.normalize_theta_set(),0.7958413
sympy.printing.pretty.pretty.PrettyPrinter._print_elliptic_pi(),0.7870025
sympy.printing.c.get_math_macros(),0.7865467
sympy.ntheory.partitions_.npartitions(),0.7820137
sympy.functions.elementary.exponential.log.eval(),0.7717375
sympy.printing.latex.LatexPrinter._print_elliptic_pi(),0.7679391
sympy.simplify.hyperexpand.add_formulae(),0.7669262
sympy.integrals.meijerint._condsimp(),0.75676
sympy.interactive.printing._init_ipython_printing(),0.7564693
sympy.physics.pring.wavefunction(),0.75513625
sympy.series.fourier._process_limits(),0.75122243
sympy.functions.elementary.trigonometric._peeloff_pi(),0.7506676
sympy.integrals.meijerint._check_antecedents_inversion(),0.7473911
sympy.geometry.ellipse.Ellipse.plot_interval(),0.7465483
sympy.integrals.transforms._rewrite_sin(),0.7461318
sympy.functions.elementary.complexes.unbranched_argument(),0.7459907
sympy.core.basic.Basic.xreplace(),0.7420276
sympy.functions.elementary.hyperbolic._peeloff_ipi(),0.7395814
sympy.simplify.fu.TRmorrie(),0.738909
sympy.functions.elementary.trigonometric._pi_coeff(),0.73886234
sympy.functions.special.hyper.meijerg.get_period(),0.73471105
sympy.functions.special.gamma_functions.lowergamma.eval(),0.729309
sympy.series.fourier.fourier_series(),0.7285465
sympy.functions.elementary.trigonometric.cos.eval(),0.7281032
sympy.integrals.transforms.inverse_fourier_transform(),0.72809434
sympy.integrals.meijerint._create_lookup_table(),0.7230631
sympy.functions.elementary.trigonometric.sin.eval(),0.72179323
sympy.simplify.fu.TR3(),0.72074383
sympy.functions.elementary.exponential.exp_polar._eval_evalf(),0.71419597
sympy.physics.matrices.mdft(),0.7137839
sympy.integrals.manualintegrate.eval_erf(),0.713534
sympy.integrals.transforms.fourier_transform(),0.7131276
sympy.functions.elementary.hyperbolic.asech.eval(),0.71256256
sympy.assumptions.refine.refine_atan2(),0.7111946
sympy.physics.sho.R_nl(),0.7062605
sympy.series.acceleration.richardson(),0.70578486
sympy.core.basic.Basic.subs(),0.6997102
sympy.calculus.util.stationary_points(),0.6995949
sympy.functions.elementary.trigonometric.atan.eval(),0.69924784
sympy.functions.elementary.hyperbolic.acosh.eval(),0.6989316
sympy.physics.quantum.state.Wavefunction.normalize(),0.6988481
sympy.simplify.fu.TR11(),0.6984141
sympy.stats.crv_types.RaisedCosineDistribution._characteristic_function(),0.6974928
sympy.core.basic.Basic.is_comparable(),0.6967799
sympy.matrices.matrices.MatrixBase.log(),0.6939579
sympy.functions.elementary.trigonometric.cot.eval(),0.6882149
sympy.functions.elementary.trigonometric.cos._eval_rewrite_as_sqrt(),0.6873379
sympy.functions.special.zeta_functions.polylog.eval(),0.68729216
sympy.stats.crv_types.Maxwell(),0.68695587
sympy.geometry.plane.Plane.distance(),0.68683684
sympy.printing.pretty.pretty.PrettyPrinter._print_Atom(),0.68446547
sympy.geometry.ellipse.Ellipse.rotate(),0.6843803
sympy.core.power.Pow._eval_power(),0.68378013
sympy.physics.optics.polarization.jones_2_stokes(),0.68332916
sympy.ntheory.generate.prime(),0.6819341
sympy.printing.latex.LatexPrinter._print_Function(),0.68059427
sympy.functions.elementary.trigonometric.atan2.eval(),0.6804176
sympy.simplify.fu.fu(),0.6790149
sympy.functions.special.gamma_functions.uppergamma.eval(),0.67853224
sympy.stats.joint_rv_types.MultivariateNormal(),0.67842555
sympy.geometry.entity.GeometryEntity.reflect(),0.67734724
sympy.functions.elementary.trigonometric.tan.eval(),0.6766806
sympy.functions.elementary.complexes.principal_branch._eval_evalf(),0.6765297
sympy.series.fourier.FourierSeries.sigma_approximation(),0.67287755
sympy.physics.quantum.state.Wavefunction.norm(),0.6716415
sympy.functions.elementary.trigonometric.InverseTrigonometricFunction._asin_table(),0.6707507
sympy.functions.special.hyper.HyperRep_sqrts1._expr_big(),0.6705675
sympy.core.expr.Expr.round(),0.6702508
sympy.functions.special.hyper.HyperRep_sqrts2._expr_big(),0.66844666
sympy.functions.elementary.trigonometric.InverseTrigonometricFunction._acsc_table(),0.6653413
sympy.integrals.rubi.utility_function.SimpHelp(),0.6639897
sympy.physics.quantum.spin.Rotation.D(),0.6625475
sympy.functions.elementary.trigonometric.acot.eval(),0.6616511
sympy.utilities.iterables.sift(),0.66016775
sympy.functions.elementary.trigonometric.InverseTrigonometricFunction._atan_table(),0.658935
sympy.functions.elementary.exponential.LambertW.eval(),0.6581155
sympy.integrals.rubi.rules.binomial_products.With789(),0.6572764
sympy.integrals.rubi.rules.binomial_products.With790(),0.6572764
sympy.simplify.simplify.besselsimp(),0.65624726
sympy.functions.elementary.trigonometric.acsc.eval(),0.65452665
sympy.ntheory.bbp_pi.pi_hex_digits(),0.6542159
sympy.printing.pretty.pretty.pretty_print(),0.65270734
sympy.geometry.polygon.RegularPolygon.rotation(),0.6522156
sympy.calculus.util.lcim(),0.65159184
sympy.integrals.manualintegrate.eval_fresnelc(),0.65155447
sympy.integrals.manualintegrate.eval_fresnels(),0.65155447
sympy.integrals.meijerint._check_antecedents(),0.6496304
sympy.integrals.transforms.inverse_cosine_transform(),0.6493924
sympy.functions.elementary.trigonometric.asin.eval(),0.6476817
sympy.matrices.dense.rot_axis3(),0.6464476
sympy.matrices.dense.rot_axis2(),0.6464476
sympy.matrices.dense.rot_axis1(),0.6464476
sympy.stats.crv_types.Normal(),0.6459456
sympy.series.fourier.FourierSeries.shift(),0.64570194
sympy.functions.special.error_functions.Chi._eval_rewrite_as_expint(),0.6435365
sympy.geometry.line.Ray.plot_interval(),0.6431812
sympy.ntheory.residue_ntheory._discrete_log_pohlig_hellman(),0.6427578
sympy.geometry.line.Ray2D.closing_angle(),0.6425555
sympy.series.fourier.FourierSeries.shiftx(),0.6425177
sympy.series.fourier.FourierSeries.scalex(),0.6425177
sympy.printing.julia.JuliaCodePrinter._print_Pi(),0.642369
sympy.physics.vector.frame.ReferenceFrame.__init__(),0.6422088
sympy.series.fourier.FourierSeries.scale(),0.64041305
sympy.physics.optics.polarization.stokes_vector(),0.6403275
sympy.functions.special.error_functions.Shi._eval_rewrite_as_expint(),0.63983464
sympy.integrals.transforms.cosine_transform(),0.639434
sympy.functions.special.zeta_functions.lerchphi._eval_expand_func(),0.63874376
sympy.functions.elementary.trigonometric.ReciprocalTrigonometricFunction.eval(),0.63813907
sympy.integrals.rubi.rules.binomial_products.With713(),0.6378156
