Method,Suspiciousness
sympy.ntheory.residue_ntheory.nthroot_mod(),1.0
sympy.ntheory.residue_ntheory._sqrt_mod_prime_power(),0.9768756
sympy.polys.factortools.dmp_zz_wang(),0.97355604
sympy.polys.domains.modularinteger.ModularIntegerFactory(),0.9653116
sympy.crypto.crypto.encipher_affine(),0.9592054
sympy.core.mod.Mod.eval(),0.9569764
sympy.assumptions.refine.refine_Pow(),0.9362087
sympy.ntheory.residue_ntheory.sqrt_mod_iter(),0.93358004
sympy.polys.modulargcd._integer_rational_reconstruction(),0.91574043
sympy.core.power.Pow._eval_expand_multinomial(),0.91011304
sympy.polys.domains.finitefield.FiniteField.__init__(),0.9068921
sympy.core.exprtools.decompose_power(),0.89580274
sympy.ntheory.residue_ntheory.sqrt_mod(),0.89562565
sympy.core.power.Pow._eval_is_real(),0.8949918
sympy.polys.galoistools.gf_pow_mod(),0.8839516
sympy.ntheory.modular.solve_congruence(),0.87554055
sympy.core.power.Pow._eval_subs(),0.87282956
sympy.simplify.hyperexpand._mod1(),0.8654152
sympy.core.numbers.Integer.__mod__(),0.86510134
sympy.core.power.Pow.as_base_exp(),0.86144406
sympy.core.numbers.ImaginaryUnit._eval_power(),0.84519494
sympy.polys.galoistools.gf_trace_map(),0.82796085
sympy.simplify.powsimp.powsimp(),0.826482
sympy.polys.galoistools.gf_edf_shoup(),0.82007986
sympy.polys.galoistools.gf_frobenius_monomial_base(),0.81957453
sympy.polys.numberfields._minpoly_groebner(),0.8174341
sympy.assumptions.handlers.sets.AskRealHandler.Pow(),0.81215364
sympy.simplify.hyperexpand.Hyper_Function.build_invariants(),0.80326986
sympy.core.power.Pow._eval_is_imaginary(),0.79665077
sympy.simplify.fu.TR111(),0.78980786
sympy.assumptions.handlers.sets.AskImaginaryHandler.Pow(),0.78904426
sympy.solvers.solvers._invert(),0.7847678
sympy.polys.galoistools.gf_irred_p_ben_or(),0.7836385
sympy.core.power.Pow._eval_is_positive(),0.78337055
sympy.polys.modulargcd._chinese_remainder_reconstruction_univariate(),0.76886934
sympy.core.power.Pow._eval_is_rational(),0.7642484
sympy.polys.galoistools.linear_congruence(),0.7588991
sympy.polys.galoistools.gf_edf_zassenhaus(),0.75672245
sympy.integrals.meijerint._mul_args(),0.7529871
sympy.integrals.risch.integer_powers(),0.7490355
sympy.polys.modulargcd._rational_reconstruction_int_coeffs(),0.74605256
sympy.printing.fcode.FCodePrinter._print_Pow(),0.74132806
