Statement,Suspiciousness
sympy.core.numbers#1838,1.0
sympy.integrals.rubi.rules.tangent#7,0.99
sympy.core.numbers#1739,0.98
sympy.core.numbers#1738,0.97
sympy.core.numbers#1737,0.96
sympy.physics.units.quantities#49,0.95
sympy.physics.units.quantities#47,0.94
sympy.physics.units.quantities#42,0.93
sympy.integrals.rubi.rules.piecewise_linear#7,0.92
sympy.integrals.rubi.rules.secant#7,0.91
sympy.integrals.rubi.rules.miscellaneous_algebraic#7,0.9
sympy.integrals.rubi.rules.hyperbolic#7,0.89
sympy.physics.units.quantities#50,0.88
sympy.core.numbers#1755,0.87
sympy.integrals.rubi.rules.exponential#7,0.86
sympy.integrals.rubi.rules.linear_products#7,0.85
sympy.physics.units.quantities#67,0.84
sympy.integrals.rubi.rules.binomial_products#7,0.83
sympy.physics.units.quantities#65,0.82
sympy.tensor.array.__init__#120,0.81
sympy.integrals.rubi.rules.inverse_trig#7,0.8
sympy.series.sequences#935,0.79
sympy.physics.units.quantities#64,0.78
sympy.core.numbers#1752,0.77
sympy.series.sequences#826,0.76
sympy.series.sequences#824,0.75
sympy.tensor.array.__init__#171,0.74
sympy.core.numbers#1749,0.73
sympy.physics.units.quantities#78,0.72
sympy.tensor.array.__init__#94,0.71
sympy.tensor.array.arrayop#176,0.7
sympy.physics.units.quantities#76,0.69
sympy.series.sequences#933,0.68
sympy.physics.units.quantities#74,0.67
sympy.physics.units.quantities#72,0.66
sympy.series.sequences#211,0.65
sympy.plotting.pygletplot.plot_mode_base#211,0.64
sympy.physics.units.quantities#17,0.63
sympy.core.numbers#1741,0.62
sympy.physics.units.quantities#14,0.61
sympy.series.sequences#723,0.6
sympy.physics.units.quantities#13,0.59
sympy.solvers.ode#7274,0.58
sympy.utilities.runtests#876,0.57
sympy.physics.units.quantities#26,0.56
sympy.utilities.runtests#851,0.55
sympy.physics.units.quantities#24,0.54
sympy.liealgebras.type_c#166,0.53
sympy.physics.units.quantities#22,0.52
sympy.polys.distributedmodules#713,0.51
sympy.physics.units.quantities#36,0.5
sympy.codegen.ffunctions#62,0.49
sympy.polys.distributedmodules#711,0.48
sympy.physics.hep.gamma_matrices#55,0.47
sympy.physics.units.quantities#33,0.46
sympy.physics.units.quantities#31,0.45
sympy.physics.units.definitions#29,0.44
sympy.physics.units.definitions#16,0.43
sympy.physics.units.definitions#28,0.42
sympy.core.numbers#596,0.41
sympy.physics.units.definitions#24,0.4
sympy.utilities.iterables#2091,0.39
sympy.polys.ring_series#637,0.38
sympy.core.numbers#592,0.37
sympy.series.sequences#696,0.36
sympy.physics.units.definitions#22,0.35
sympy.physics.units.quantities#80,0.34
sympy.physics.units.quantities#81,0.33
sympy.physics.units.quantities#85,0.32
sympy.printing.pretty.pretty#1797,0.31
sympy.physics.units.quantities#91,0.3
sympy.printing.latex#1663,0.29
sympy.physics.units.quantities#94,0.28
sympy.series.sequences#602,0.27
sympy.physics.units.quantities#84,0.26
sympy.physics.units.definitions#79,0.25
sympy.series.sequences#931,0.24
sympy.physics.units.definitions#77,0.23
sympy.series.sequences#822,0.22
sympy.series.sequences#929,0.21
sympy.integrals.risch#1177,0.2
sympy.physics.units.definitions#74,0.19
sympy.series.sequences#820,0.18
sympy.core.mul#1359,0.17
sympy.core.mul#1355,0.16
sympy.series.sequences#189,0.15
sympy.physics.units.definitions#85,0.14
sympy.series.sequences#230,0.13
sympy.series.sequences#265,0.12
sympy.physics.units.definitions#81,0.11
sympy.printing.latex#732,0.1
sympy.physics.vector.printing#84,0.09
sympy.core.symbol#577,0.08
sympy.physics.units.definitions#98,0.07
sympy.series.sequences#192,0.06
sympy.series.sequences#212,0.05
sympy.physics.units.definitions#82,0.04
sympy.series.fourier#477,0.03
sympy.series.fourier#480,0.02
sympy.physics.quantum.qexpr#9,0.01
