Method,Suspiciousness
sympy.core.numbers.Rational.__sub__(),1.0
sympy.simplify.radsimp.collect(),0.99
sympy.integrals.rubi.parsetools.generate_tests.generate_test_file(),0.98
sympy.polys.galoistools.gf_sub(),0.97
sympy.combinatorics.polyhedron._pgroup_calcs(),0.93
sympy.stats.joint_rv_types.MultivariateEwensDistribution.pdf(),0.92
sympy.ntheory.factor_.factorint(),0.91
sympy.ntheory.generate.nextprime(),0.88
sympy.solvers.solveset._solve_using_known_values(),0.87
sympy.solvers.solvers._solve_system(),0.86
sympy.core.expr.Expr.collect(),0.84
sympy.matrices.common.MatrixOperations.expand(),0.81
sympy.logic.algorithms.dpll2.SATSolver._find_model(),0.8
sympy.solvers.diophantine.diophantine(),0.76
sympy.sets.handlers.intersection.intersection_sets(),0.72
sympy.core.symbol.var(),0.69
sympy.solvers.solveset._solveset_multi(),0.67
sympy.series.formal._transform_DE_RE(),0.65
sympy.series.order.Order._eval_subs(),0.58
sympy.core.expr.Expr.is_rational_function(),0.55
sympy.solvers.solvers.unrad(),0.52
examples.intermediate.vandermonde.vandermonde(),0.51
sympy.solvers.ode.lie_heuristic_abaco2_unique_unknown(),0.5
sympy.core.expr.Expr.is_algebraic_expr(),0.45
sympy.core.expr.Expr.expand(),0.34
sympy.combinatorics.perm_groups.PermutationGroup.schreier_sims_incremental(),0.3
sympy.ntheory.factor_.perfect_power(),0.29
sympy.utilities.runtests.SymPyTests.test_file(),0.26
sympy.logic.inference.satisfiable(),0.23
sympy.core.basic.Basic.assumptions0(),0.22
sympy.assumptions.ask.AssumptionKeys.is_true(),0.2
sympy.solvers.diophantine.classify_diop(),0.18
sympy.solvers.diophantine.diop_solve(),0.17
sympy.integrals.meijerint._check_antecedents(),0.13
sympy.stats.rv_interface.skewness(),0.07
sympy.stats.rv_interface.kurtosis(),0.05
sympy.polys.rootisolation.dup_count_complex_roots(),0.04
sympy.core.logic._fuzzy_group(),0.03
