Method,Suspiciousness
sympy.printing.latex.LatexPrinter._print_KroneckerDelta(),1.0
sympy.testing.runtests.PyTestReporter.finish(),0.99
sympy.printing.ccode.C89CodePrinter._print_sinc(),0.96
sympy.assumptions.cnf.to_NNF(),0.95
sympy.printing.rcode.RCodePrinter._print_ITE(),0.92
sympy.testing.runtests.PyTestReporter.write_exception(),0.91
sympy.core.function.arity(),0.9
sympy.printing.latex.LatexPrinter._print_euler(),0.89
sympy.testing.runtests.SymPyTests.test_file(),0.88
sympy.integrals.rubi.utility_function.EasyDQ(),0.85
sympy.physics.secondquant.NO._expand_operators(),0.83
sympy.integrals.rubi.utility_function.FunctionOfSinQ(),0.82
sympy.functions.special.hyper.meijerg.__new__(),0.81
sympy.testing.runtests.PyTestReporter.leaving_filename(),0.79
sympy.testing.runtests.PyTestReporter.test_fail(),0.78
sympy.integrals.rubi.utility_function.FunctionOfSinhQ(),0.77
sympy.core.basic.Basic.atoms(),0.76
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitFunction(),0.73
sympy.codegen.ast.Token.is_Atom(),0.72
sympy.printing.rust.RustCodePrinter._print_ITE(),0.71
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitFunctionCall(),0.7
sympy.core.basic.preorder_traversal._preorder_traversal(),0.69
sympy.printing.codeprinter.CodePrinter._print_String(),0.68
sympy.core.operations.AssocOp._matches_commutative(),0.67
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitMassDecl2(),0.66
sympy.core.containers.Tuple.__ne__(),0.64
sympy.simplify.simplify.simplify(),0.63
sympy.codegen.ast.Token.__eq__(),0.62
sympy.printing.printer.Printer._print(),0.61
sympy.codegen.ast.Token.__new__(),0.59
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitExponent(),0.58
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitMulDiv(),0.55
sympy.functions.elementary.trigonometric.cot._eval_expand_trig(),0.48
sympy.simplify.radsimp.parse_derivative(),0.46
sympy.simplify.simplify.dotprodsimp(),0.45
sympy.functions.elementary.trigonometric.asec._eval_rewrite_as_acot(),0.44
sympy.printing.rust.RustCodePrinter._print_Pow(),0.43
sympy.solvers.inequalities.reduce_rational_inequalities(),0.41
sympy.core.expr.Expr._expand_hint(),0.39
sympy.codegen.array_utils._unfold_recognized_expr(),0.38
sympy.physics.quantum.cg._check_varsh_871_1(),0.37
sympy.core.symbol.disambiguate(),0.36
sympy.simplify.trigsimp.__trigsimp(),0.32
sympy.simplify.powsimp.powsimp(),0.29
sympy.core.exprtools.factor_nc(),0.27
sympy.functions.special.bessel.BesselBase._eval_conjugate(),0.26
sympy.logic.boolalg._is_form(),0.25
sympy.integrals.rationaltools.ratint(),0.22
sympy.physics.mechanics.functions._tan_repl_func(),0.21
sympy.printing.latex.LatexPrinter._needs_brackets(),0.2
sympy.sets.sets.Set.is_EmptySet(),0.19
sympy.utilities.decorator.threaded_func(),0.17
sympy.sets.sets.Set.union(),0.15
sympy.assumptions.handlers.sets.AskRealHandler.exp(),0.14
sympy.sets.ordinals.Ordinal.__new__(),0.13
sympy.physics.quantum.cg._check_varsh_872_9(),0.12
sympy.polys.polyutils._dict_from_expr_no_gens(),0.1
sympy.printing.cxxcode._CXXCodePrinterBase._print_Min(),0.08
sympy.sets.fancysets.ComplexRegion.sets(),0.06
sympy.integrals.meijerint._is_analytic(),0.05
sympy.simplify.gammasimp.compute_ST(),0.04
sympy.matrices.expressions.blockmatrix.BlockMatrix._eval_transpose(),0.03
sympy.polys.rootisolation._isolate_zero(),0.01
