Method,Suspiciousness
sympy.testing.runtests.PyTestReporter.finish(),1.0
sympy.parsing.latex._antlr.latexparser.LaTeXParser.unary(),0.99
sympy.parsing.latex._antlr.latexparser.LaTeXParser.unary_nofunc(),0.97
sympy.parsing.latex._antlr.latexparser.LaTeXParser.func_normal(),0.95
sympy.integrals.rubi.rules.special_functions.replacement6785(),0.92
sympy.testing.runtests.PyTestReporter.write_exception(),0.91
sympy.printing.pretty.pretty.PrettyPrinter._print_nth_root(),0.9
sympy.integrals.rubi.rules.binomial_products.With790(),0.89
sympy.integrals.rubi.rules.binomial_products.With789(),0.88
sympy.testing.runtests.SymPyTests.test_file(),0.86
sympy.integrals.rubi.rules.special_functions.replacement6789(),0.85
sympy.printing.str.StrPrinter._print_Pi(),0.82
sympy.simplify.fu.TRmorrie(),0.81
sympy.simplify.fu.fu(),0.8
sympy.testing.runtests.PyTestReporter.test_fail(),0.79
sympy.integrals.meijerint._condsimp(),0.78
sympy.integrals.rubi.rules.inverse_hyperbolic.replacement6305(),0.77
sympy.core.exprtools.factor_terms(),0.75
sympy.core.exprtools.do(),0.74
sympy.integrals.rubi.rules.special_functions.replacement6782(),0.71
sympy.integrals.rubi.rules.special_functions.replacement6792(),0.7
sympy.integrals.rubi.rules.special_functions.replacement6786(),0.68
sympy.integrals.rubi.rules.special_functions.replacement6793(),0.67
sympy.integrals.rubi.rules.special_functions.replacement6787(),0.62
sympy.integrals.rubi.rules.inverse_trig.replacement5232(),0.61
sympy.simplify.fu.TR4(),0.6
sympy.combinatorics.permutations.Permutation.next_trotterjohnson(),0.59
sympy.integrals.rubi.rules.binomial_products.With712(),0.57
sympy.calculus.util.lcim(),0.53
sympy.integrals.rubi.rules.binomial_products.With713(),0.51
sympy.parsing.latex._antlr.latexparser.LaTeXParser.exp_nofunc(),0.49
sympy.core.expr.Expr.extract_branch_factor(),0.47
sympy.core.numbers.ImaginaryUnit._eval_power(),0.45
sympy.simplify.hyperexpand.add_formulae(),0.44
sympy.calculus.util.stationary_points(),0.43
sympy.core.power.Pow.__new__(),0.41
sympy.printing.pretty.pretty.PrettyPrinter._use_unicode(),0.4
sympy.simplify.radsimp.fraction(),0.35
sympy.functions.elementary.trigonometric.atan.eval(),0.31
sympy.simplify.radsimp.denom(),0.3
sympy.core.numbers.Rational.__truediv__(),0.29
sympy.physics.quantum.spin.JzKetCoupled._represent_JyOp(),0.28
sympy.geometry.entity.GeometryEntity.reflect(),0.26
sympy.core.mul.Mul._eval_is_odd(),0.24
sympy.core.mul.Mul._eval_is_irrational(),0.23
sympy.printing.pretty.pretty_symbology.pretty_use_unicode(),0.21
sympy.physics.quantum.spin.Rotation.D(),0.19
sympy.integrals.integrals.Integral.doit(),0.18
sympy.core.numbers.Number.__truediv__(),0.17
sympy.functions.elementary.trigonometric._peeloff_pi(),0.16
sympy.solvers.solveset.solve_decomposition(),0.15
sympy.functions.elementary.exponential.exp._eval_is_algebraic(),0.14
sympy.calculus.util.continuous_domain(),0.12
sympy.functions.elementary.exponential.exp.eval(),0.11
sympy.integrals.meijerint._check_antecedents_inversion(),0.09
sympy.integrals.rubi.rules.binomial_products.With787(),0.08
sympy.functions.elementary.hyperbolic._peeloff_ipi(),0.02
sympy.simplify.fu.TR11(),0.01
