Method,Suspiciousness
sympy.matrices.expressions.matexpr.Identity.__new__(),1.0
sympy.matrices.expressions.matexpr.__sympifyit_wrapper(),0.98
sympy.matrices.expressions.matexpr.MatrixExpr._eval_inverse(),0.95
sympy.matrices.expressions.matexpr.MatrixExpr.cols(),0.93
sympy.matrices.expressions.matexpr.MatrixExpr.rows(),0.92
sympy.matrices.expressions.matexpr.MatrixExpr.__pow__(),0.91
sympy.tensor.toperators.PartialDerivative._extract_data(),0.9
sympy.matrices.expressions.matpow.MatPow.__new__(),0.84
sympy.codegen.array_utils.CodegenArrayPermuteDims.nest_permutation(),0.82
sympy.codegen.array_utils._CodegenArrayAbstract.subranks(),0.81
sympy.matrices.expressions.matpow.MatPow.doit(),0.79
sympy.matrices.expressions.trace.Trace._eval_derivative_matrix_lines(),0.78
sympy.codegen.array_utils.CodegenArrayContraction._get_contraction_tuples(),0.76
sympy.codegen.array_utils.CodegenArrayContraction._get_index_shifts(),0.75
sympy.tensor.functions.TensorProduct.__new__(),0.72
sympy.tensor.indexed.Indexed.__new__(),0.67
sympy.matrices.expressions.matexpr.MatrixSymbol.__new__(),0.65
sympy.matrices.expressions.matexpr.MatrixSymbol.shape(),0.63
sympy.utilities.codegen.JuliaCodeGen.routine(),0.6
sympy.utilities.runtests.PyTestReporter.finish(),0.59
sympy.tensor.indexed.Indexed._eval_derivative(),0.58
sympy.utilities.runtests.PyTestReporter.write_exception(),0.57
sympy.utilities.codegen.RustCodeGen.routine(),0.56
sympy.utilities.codegen.OctaveCodeGen.routine(),0.55
sympy.assumptions.ask.AssumptionKeys.square(),0.52
sympy.utilities.runtests.SymPyTests.test_file(),0.44
sympy.utilities.runtests.PyTestReporter.test_fail(),0.42
sympy.matrices.expressions.matexpr.MatrixSymbol.name(),0.37
sympy.printing.pycode.NumPyPrinter._print_MatPow(),0.33
sympy.tensor.tensor.TensExpr.replace_with_arrays(),0.32
sympy.matrices.expressions.inverse.Inverse.__new__(),0.31
sympy.matrices.expressions.inverse.Inverse.doit(),0.3
sympy.printing.str.StrPrinter._print_Identity(),0.27
sympy.codegen.array_utils.parse_indexed_expression(),0.26
sympy.simplify.cse_main.cse(),0.22
sympy.functions.elementary.complexes.sign.eval(),0.21
sympy.printing.pycode._print_known_func(),0.16
sympy.matrices.expressions.hadamard.canonicalize(),0.14
sympy.printing.str.StrPrinter._print_Integer(),0.13
sympy.core.assumptions._ask(),0.11
sympy.physics.quantum.qft.Fourier._represent_ZGate(),0.09
sympy.codegen.array_utils.recognize_matrix_expression(),0.08
