Method,Suspiciousness
sympy.printing.str.StrPrinter.emptyPrinter(),1.0
sympy.printing.latex.LatexPrinter._print_MellinTransform(),0.97
sympy.printing.latex.LatexPrinter._print_InverseSineTransform(),0.95
sympy.printing.latex.LatexPrinter._print_LaplaceTransform(),0.94
sympy.printing.latex.LatexPrinter._print_InverseCosineTransform(),0.93
sympy.utilities.runtests.PyTestReporter.finish(),0.92
sympy.printing.latex.LatexPrinter._print_FourierTransform(),0.91
sympy.utilities.runtests.PyTestReporter.test_fail(),0.89
sympy.physics.quantum.cg.Wigner9j._pretty(),0.88
sympy.series.order.Order.contains(),0.85
sympy.utilities.runtests.PyTestReporter.leaving_filename(),0.84
sympy.utilities.runtests.SymPyTests.test_file(),0.83
sympy.physics.quantum.operator.OuterProduct._sympyrepr(),0.78
sympy.physics.quantum.innerproduct.InnerProduct._sympyrepr(),0.77
sympy.printing.str.StrPrinter._print_Derivative(),0.76
sympy.printing.fcode.FCodePrinter._print_Function(),0.75
sympy.printing.str.StrPrinter._print_Function(),0.74
sympy.core.basic.Basic.__repr__(),0.73
sympy.printing.latex.LatexPrinter._print_elliptic_f(),0.72
sympy.printing.latex.LatexPrinter._print_DiracDelta(),0.71
sympy.core.symbol.Symbol._diff_wrt(),0.7
sympy.plotting.plot.Parametric2DLineSeries.__str__(),0.69
sympy.printing.repr.ReprPrinter._print_Rational(),0.68
sympy.core.function.Derivative.__new__(),0.67
sympy.printing.repr.ReprPrinter._print_Fraction(),0.66
sympy.physics.quantum.cg.Wigner6j._pretty(),0.62
sympy.printing.str.StrPrinter._print_MatrixElement(),0.54
sympy.core.basic.Basic.replace(),0.52
sympy.physics.quantum.spin.WignerD._latex(),0.51
sympy.utilities.runtests.PyTestReporter.write_exception(),0.5
sympy.printing.julia.JuliaCodePrinter._print_Pi(),0.48
sympy.printing.julia.JuliaCodePrinter._print_Catalan(),0.46
sympy.printing.julia.JuliaCodePrinter._print_EulerGamma(),0.45
sympy.printing.latex.LatexPrinter._print_MatrixElement(),0.44
sympy.printing.fcode.FCodePrinter._print_Pow(),0.43
sympy.printing.julia.JuliaCodePrinter._print_Exp1(),0.41
sympy.printing.fcode.FCodePrinter._print_Mul(),0.4
sympy.printing.pretty.pretty.PrettyPrinter._print_ComplexRootOf(),0.39
sympy.plotting.plot.Parametric2DLineSeries.__init__(),0.36
sympy.core.containers.Tuple.__len__(),0.35
sympy.printing.latex.LatexPrinter._print_meijerg(),0.34
sympy.printing.repr.ReprPrinter._print_Sum2(),0.32
sympy.core.expr.Expr.could_extract_minus_sign(),0.3
sympy.physics.vector.printing.VectorPrettyPrinter._print_Derivative(),0.29
sympy.functions.special.error_functions.Chi._latex(),0.28
sympy.core.expr.Expr.extract_multiplicatively(),0.27
sympy.plotting.plot.LineOver1DRangeSeries.__str__(),0.26
sympy.calculus.finite_diff._as_finite_diff(),0.25
sympy.physics.vector.printing.VectorLatexPrinter._print_Derivative(),0.2
sympy.core.numbers.ImaginaryUnit._eval_power(),0.18
sympy.core.function.Derivative._eval_subs(),0.16
sympy.series.order.Order._eval_derivative(),0.15
sympy.plotting.plot_implicit.ImplicitSeries._get_meshes_grid(),0.13
sympy.core.operations.AssocOp._matches_commutative(),0.11
sympy.core.expr.Expr.as_coefficient(),0.1
sympy.core.power.Pow.__new__(),0.06
sympy.matrices.expressions.blockmatrix.block_collapse(),0.04
sympy.physics.quantum.state.Wavefunction.prob(),0.01
