Method,Suspiciousness
sympy.testing.runtests.PyTestReporter.finish(),0.99
sympy.testing.runtests.PyTestReporter.write_exception(),0.93
sympy.core.numbers.ComplexInfinity._eval_power(),0.9
sympy.integrals.integrals.Integral.doit(),0.88
sympy.core.numbers.Zero._eval_power(),0.85
sympy.simplify.hyperexpand.weight(),0.82
sympy.core.numbers.Float._eval_is_extended_positive(),0.81
sympy.testing.runtests.SymPyTests.test_file(),0.8
sympy.functions.special.hyper.meijerg.__new__(),0.76
sympy.solvers.ode.ode.classify_ode(),0.74
sympy.testing.runtests.PyTestReporter.leaving_filename(),0.68
sympy.simplify.hyperexpand.do_meijer(),0.66
sympy.core.numbers.Infinity._eval_power(),0.65
sympy.integrals.integrals.Integral.principal_value(),0.63
sympy.integrals.rubi.utility_function._SimplifyAntiderivative(),0.61
sympy.core.mul._keep_coeff(),0.59
sympy.sets.handlers.power._set_pow(),0.58
sympy.integrals.transforms._mellin_transform(),0.57
sympy.core.mul.Mul.as_base_exp(),0.56
sympy.core.numbers.Number.as_coeff_Mul(),0.52
sympy.core.numbers.Float._eval_is_zero(),0.43
sympy.solvers.inequalities._solve_inequality(),0.42
sympy.core.numbers.Float.__new__(),0.41
sympy.functions.elementary.piecewise.Piecewise._intervals(),0.35
sympy.calculus.util.AccumulationBounds.__truediv__(),0.34
sympy.calculus.util.AccumulationBounds.__pow__(),0.31
sympy.core.expr.Expr.could_extract_minus_sign(),0.27
sympy.calculus.util.AccumulationBounds.__mul__(),0.26
sympy.core.expr.Expr.as_coeff_mul(),0.25
sympy.calculus.util.AccumulationBounds.__sub__(),0.24
sympy.calculus.util.AccumulationBounds.__add__(),0.22
sympy.sets.fancysets.Integers._eval_is_superset(),0.17
sympy.sets.fancysets.Integers.as_relational(),0.15
sympy.integrals.transforms.FourierTypeTransform._as_integral(),0.14
sympy.integrals.transforms.InverseLaplaceTransform._as_integral(),0.13
sympy.physics.optics.utils.mirror_formula(),0.11
sympy.core.power.Pow.__new__(),0.1
sympy.physics.optics.utils.lens_formula(),0.08
sympy.core.numbers.Float.num(),0.03
sympy.simplify.radsimp.denom(),0.02
