Method,Suspiciousness
sympy.matrices.sparse.MutableSparseMatrix.row_join(),1.0
sympy.solvers.diophantine.diop_general_pythagorean(),0.99
sympy.physics.quantum.spin.couple(),0.98
sympy.utilities.runtests.PyTestReporter.finish(),0.96
sympy.tensor.tensor.TIDS.get_components_with_free_indices(),0.93
sympy.tensor.tensor._IndexStructure.from_indices(),0.92
sympy.tensor.tensor._IndexStructure._free_dum_from_indices(),0.91
sympy.utilities.runtests.PyTestReporter.test_fail(),0.9
sympy.utilities.runtests.PyTestReporter.leaving_filename(),0.89
sympy.physics.mechanics.linearize.Linearizer._form_permutation_matrices(),0.88
sympy.matrices.sparse.SparseMatrix.__eq__(),0.87
sympy.utilities.runtests.SymPyTests.test_file(),0.86
sympy.physics.quantum.sho1d.Hamiltonian._represent_NumberOp(),0.81
sympy.physics.quantum.sho1d.NumberOp._represent_NumberOp(),0.8
sympy.physics.quantum.qubit.Qubit._reduced_density(),0.77
sympy.utilities.runtests.PyTestReporter.write_exception(),0.76
sympy.physics.quantum.sho1d.RaisingOp._represent_NumberOp(),0.74
sympy.solvers.diophantine._transformation_to_DN(),0.73
sympy.matrices.matrices.MatrixBase._handle_creation_inputs(),0.65
sympy.matrices.sparse.SparseMatrix.__new__(),0.63
sympy.matrices.sparse.MutableSparseMatrix.col_join(),0.6
sympy.matrices.sparse.SparseMatrix._eval_zeros(),0.54
sympy.physics.quantum.identitysearch.is_scalar_nonsparse_matrix(),0.51
sympy.matrices.common.MatrixShaping.hstack(),0.5
sympy.physics.quantum.gate.represent_zbasis(),0.49
sympy.solvers.ode.ode_2nd_power_series_regular(),0.43
sympy.matrices.matrices.MatrixBase.inverse_GE(),0.42
sympy.matrices.common.MatrixSpecial.zeros(),0.41
sympy.tensor.tensor.TensMul.canon_bp(),0.37
sympy.solvers.ode.ode_separable_reduced(),0.36
sympy.solvers.ode.classify_ode(),0.35
sympy.tensor.tensor.TensMul.get_indices(),0.34
sympy.tensor.tensor.TensMul.__mul__(),0.33
sympy.matrices.dense.MutableDenseMatrix._new(),0.32
sympy.solvers.ode.ode_separable(),0.29
sympy.vector.point.Point.position_wrt(),0.24
sympy.matrices.dense.MutableDenseMatrix.__new__(),0.2
sympy.physics.quantum.pauli.qsimplify_pauli(),0.15
sympy.sets.fancysets.ImageSet._contains(),0.1
sympy.functions.elementary.trigonometric.cos._eval_expand_trig(),0.06
sympy.physics.vector.dyadic.Dyadic.to_matrix(),0.04
sympy.simplify.hyperexpand.Formula._compute_basis(),0.01
