Method,Suspiciousness
sympy.core.mul.Mul._eval_pos_neg(),1.0
sympy.core.numbers.Rational.__add__(),0.94
sympy.core.numbers.Infinity.__add__(),0.93
sympy.core.numbers.Infinity.__mul__(),0.89
sympy.core.mul.Mul._eval_is_imaginary(),0.87
sympy.core.numbers.Number.__mul__(),0.84
sympy.core.numbers.Number.__add__(),0.82
sympy.integrals.rubi.rules.logarithms.logarithms(),0.81
sympy.core.numbers.Integer._eval_power(),0.75
sympy.core.expr.Expr.__radd__(),0.72
sympy.core.mul.Mul.flatten(),0.69
sympy.core.mul.Mul._handle_for_oo(),0.67
sympy.core.numbers.NegativeOne._eval_power(),0.51
sympy.core.numbers.ImaginaryUnit._eval_power(),0.36
sympy.integrals.rubi.rules.miscellaneous_trig.miscellaneous_trig(),0.29
sympy.utilities.runtests.PyTestReporter.write_exception(),0.28
sympy.physics.quantum.spin.CoupledSpinState.__new__(),0.22
sympy.utilities.runtests.PyTestReporter.finish(),0.21
sympy.utilities.runtests.PyTestReporter.leaving_filename(),0.17
sympy.integrals.rubi.rules.trinomial_products.trinomial_products(),0.16
sympy.utilities.runtests.PyTestReporter.test_fail(),0.14
sympy.utilities.runtests.SymPyTests.test_file(),0.12
sympy.physics.optics.gaussopt.CurvedRefraction.__new__(),0.11
sympy.integrals.rubi.rules.binomial_products.binomial_products(),0.07
sympy.core.add.Add.flatten(),0.02
