Method,Suspiciousness
sympy.testing.runtests.PyTestReporter.finish(),1.0
sympy.testing.runtests.PyTestReporter.write_exception(),0.92
sympy.core.numbers.NumberSymbol.__eq__(),0.89
sympy.testing.runtests.SymPyTests.test_file(),0.86
sympy.physics.units.prefixes.Prefix.__mul__(),0.82
sympy.testing.runtests.PyTestReporter.test_fail(),0.74
sympy.physics.units.dimensions._QuantityMapper.set_quantity_scale_factor(),0.71
sympy.core.power.Pow._eval_is_prime(),0.7
sympy.solvers.ode.ode.iter_numbered_constants(),0.63
sympy.printing.fortran.FCodePrinter._print_FunctionDefinition(),0.6
sympy.functions.elementary.hyperbolic.asinh._eval_rewrite_as_log(),0.58
sympy.combinatorics.free_groups.FreeGroupElement.power_of(),0.57
sympy.functions.special.bessel.BesselBase.eval(),0.56
sympy.functions.special.bessel.BesselBase.fdiff(),0.54
sympy.ntheory.generate.primorial(),0.53
sympy.physics.units.prefixes.prefix_unit(),0.51
sympy.physics.units.unitsystem.UnitSystem.extend(),0.49
sympy.utilities.codegen.OctaveCodeGen.dump_m(),0.46
sympy.printing.tensorflow.TensorflowPrinter._print_Piecewise(),0.45
sympy.functions.elementary.trigonometric.cot._eval_is_finite(),0.43
sympy.functions.elementary.hyperbolic.asinh._eval_rewrite_as_acos(),0.42
sympy.physics.units.util.quantity_simplify(),0.4
sympy.functions.special.bessel.BesselBase.argument(),0.39
sympy.physics.control.control_plots.bode_phase_plot(),0.37
sympy.physics.units.util.convert_to(),0.36
sympy.functions.special.bessel.BesselBase.order(),0.35
sympy.functions.elementary.hyperbolic.asinh._eval_rewrite_as_asin(),0.34
sympy.functions.elementary.hyperbolic.asinh._eval_rewrite_as_acosh(),0.32
sympy.codegen.scipy_nodes._powm1(),0.31
sympy.functions.elementary.trigonometric.cot._eval_is_extended_real(),0.29
sympy.physics.control.control_plots.bode_plot(),0.28
sympy.physics.units.quantities.Quantity.set_global_relative_scale_factor(),0.27
sympy.functions.elementary.trigonometric.cot._eval_expand_trig(),0.26
sympy.core.operations.AssocOp._eval_evalf(),0.25
sympy.physics.units.util.check_dimensions(),0.24
sympy.polys.densetools.dup_revert(),0.23
sympy.functions.special.bessel.BesselBase._eval_is_meromorphic(),0.19
sympy.solvers.solvers.checksol(),0.16
sympy.utilities.codegen.FCodeGen.dump_h(),0.13
sympy.utilities.codegen.RustCodeGen.dump_rs(),0.11
sympy.ntheory.generate.primerange(),0.09
sympy.utilities.codegen.CodeGen.dump_code(),0.08
sympy.categories.diagram_drawing.XypicDiagramDrawer.repeat_string_cond(),0.04
sympy.physics.units.unitsystem.UnitSystem.get_units_non_prefixed(),0.03
sympy.simplify.trigsimp._futrig(),0.01
