Method,Suspiciousness
sympy.testing.runtests.PyTestReporter.finish(),1.0
sympy.tensor.tensor._TensorManager.set_comm(),0.99
sympy.tensor.tensor.TensMul.split(),0.98
sympy.tensor.tensor.TensMul.canon_bp(),0.96
sympy.tensor.tensor.TensorHead.__call__(),0.95
sympy.integrals.rubi.rules.inverse_hyperbolic.replacement6213(),0.93
sympy.testing.runtests.PyTestReporter.write_exception(),0.91
sympy.tensor.tensor.TensMul.contract_metric(),0.89
sympy.tensor.tensor.TensExpr.__mul__(),0.88
sympy.testing.runtests.SymPyTests.test_file(),0.85
sympy.physics.quantum.tensorproduct.tensor_product_simp_Mul(),0.83
sympy.testing.runtests.PyTestReporter.test_fail(),0.8
sympy.core.mul.Mul._eval_expand_mul(),0.77
sympy.tensor.tensor.TensExpr.replace_with_arrays(),0.75
sympy.physics.hep.gamma_matrices.gamma_trace(),0.74
sympy.physics.hep.gamma_matrices._simplify_single_line(),0.72
sympy.tensor.tensor._IndexStructure.from_indices(),0.68
sympy.physics.quantum.qapply.qapply_Mul(),0.66
sympy.core.basic.Basic.compare(),0.63
sympy.physics.quantum.tensorproduct.tensor_product_simp(),0.62
sympy.core.expr.Expr._expand_hint(),0.61
sympy.diffgeom.diffgeom.metric_to_Riemann_components(),0.6
sympy.physics.quantum.tensorproduct.TensorProduct._eval_expand_tensorproduct(),0.58
sympy.integrals.rubi.rules.special_functions.replacement6898(),0.55
sympy.integrals.rubi.rules.special_functions.replacement6931(),0.53
sympy.core.expr.Expr.expand(),0.44
sympy.core.add.Add.flatten(),0.43
sympy.core.expr.Expr._expand_hint_key(),0.42
sympy.integrals.rubi.rules.sine.replacement2619(),0.41
sympy.integrals.rubi.rules.sine.replacement2599(),0.4
sympy.integrals.rubi.rules.sine.replacement2620(),0.39
sympy.integrals.rubi.rules.miscellaneous_algebraic.replacement1723(),0.37
sympy.integrals.rubi.rules.sine.replacement2600(),0.36
sympy.integrals.rubi.rules.miscellaneous_algebraic.replacement1733(),0.35
sympy.integrals.rubi.rules.miscellaneous_trig.With4847(),0.32
sympy.physics.quantum.density.Density._generate_outer_prod(),0.27
sympy.integrals.rubi.rules.miscellaneous_trig.With4810(),0.23
sympy.printing.pycode.ArrayPrinter._print_ArrayDiagonal(),0.2
sympy.printing.pycode.ArrayPrinter._print_ArrayContraction(),0.19
sympy.tensor.array.expressions.array_expressions._EditArrayContraction.merge_scalars(),0.17
sympy.tensor.array.arrayop.tensorproduct(),0.13
sympy.physics.secondquant.AnnihilateFermion.apply_operator(),0.11
sympy.core.mul.Mul.flatten(),0.03
