Method,Suspiciousness
sympy.core.mod.Mod.doit(),1.0
sympy.integrals.rubi.rules.trinomial_products.replacement1322(),0.99
sympy.integrals.rubi.rules.trinomial_products.replacement1323(),0.98
sympy.core.containers.Tuple.__ne__(),0.97
sympy.crypto.crypto.lfsr_sequence(),0.96
sympy.ntheory.factor_.totient.eval(),0.94
sympy.polys.polyclasses.ANP.div(),0.93
sympy.ntheory.modular.solve_congruence(),0.92
sympy.polys.agca.extensions.MonogenicFiniteExtension.__init__(),0.91
sympy.sets.fancysets.Range.__new__(),0.9
sympy.crypto.crypto.decipher_bg(),0.88
sympy.polys.galoistools.gf_crt2(),0.82
sympy.solvers.solveset._invert_modular(),0.8
sympy.integrals.rubi.rules.miscellaneous_algebraic.replacement1741(),0.79
sympy.polys.polyclasses.ANP.per(),0.76
sympy.core.mod.Mod.eval(),0.68
sympy.polys.factortools.dmp_zz_wang(),0.55
sympy.simplify.hyperexpand.Hyper_Function.difficulty(),0.52
sympy.simplify.hyperexpand.Formula.find_instantiations(),0.51
sympy.core.expr.Expr.__pow__(),0.48
sympy.ntheory.partitions_._a(),0.47
sympy.core.power.Pow._eval_Mod(),0.46
sympy.simplify.hyperexpand.Hyper_Function.tr(),0.39
sympy.crypto.crypto.decipher_affine(),0.36
sympy.polys.galoistools.gf_trace_map(),0.35
sympy.crypto.crypto.encipher_affine(),0.31
sympy.sets.fancysets.Range._inf(),0.3
sympy.solvers.solveset._term_factors(),0.25
sympy.polys.polyclasses.ANP.__init__(),0.24
sympy.solvers.solveset._solve_modular(),0.21
sympy.polys.domains.modularinteger.ModularIntegerFactory(),0.18
sympy.polys.compatibility.IPolys.dmp_zz_wang(),0.15
sympy.calculus.util.periodicity(),0.14
sympy.solvers.ode.is_complex_conjugate(),0.12
sympy.ntheory.residue_ntheory.nthroot_mod(),0.07
