Method,Suspiciousness
sympy.core.expr.Expr.extract_multiplicatively(),1.0
sympy.core.numbers.NumberSymbol.__eq__(),0.99
sympy.integrals.rubi.rules.sine.replacement2277(),0.98
sympy.utilities.runtests.SymPyTests.test_file(),0.97
sympy.integrals.rubi.rules.sine.replacement2376(),0.95
sympy.integrals.rubi.rules.sine.replacement2375(),0.93
sympy.integrals.rubi.rules.sine.replacement2318(),0.92
sympy.integrals.rubi.rules.sine.replacement2705(),0.9
sympy.integrals.rubi.rules.inverse_trig.replacement5222(),0.89
sympy.core.operations.AssocOp._ncsplit(),0.88
sympy.core.operations.AssocOp._has_matcher(),0.87
sympy.physics.vector.frame.ReferenceFrame.orient(),0.86
sympy.core.operations.AssocOp.is_in(),0.82
sympy.integrals.rubi.rules.binomial_products.With959(),0.74
sympy.functions.elementary.integers.floor._eval_number(),0.73
sympy.functions.elementary.integers.floor._eval_is_nonnegative(),0.72
sympy.integrals.rubi.rules.sine.replacement2774(),0.71
sympy.integrals.rubi.rules.inverse_trig.replacement5236(),0.7
sympy.integrals.rubi.rules.secant.replacement4348(),0.69
sympy.integrals.rubi.rules.sine.replacement2900(),0.68
sympy.core.power.Pow._eval_power(),0.67
sympy.integrals.rubi.rules.sine.replacement2702(),0.66
sympy.integrals.rubi.rules.sine.replacement2704(),0.65
sympy.integrals.rubi.rules.sine.replacement2696(),0.64
sympy.integrals.rubi.rules.sine.replacement2698(),0.63
sympy.utilities.runtests.PyTestReporter.write_exception(),0.62
sympy.utilities.runtests.PyTestReporter.finish(),0.61
sympy.integrals.rubi.rules.sine.replacement2374(),0.59
sympy.integrals.rubi.utility_function._SimplifyAntiderivative(),0.58
sympy.integrals.rubi.rules.secant.replacement4349(),0.57
sympy.integrals.rubi.rules.sine.replacement2899(),0.53
sympy.utilities.runtests.PyTestReporter.test_fail(),0.52
sympy.integrals.rubi.rules.sine.replacement2559(),0.5
sympy.integrals.rubi.rules.sine.replacement2697(),0.48
sympy.integrals.rubi.rules.sine.replacement2545(),0.47
sympy.integrals.rubi.rules.sine.replacement2699(),0.46
sympy.integrals.rubi.rules.sine.replacement2373(),0.45
sympy.functions.elementary.integers.RoundFunction.eval(),0.44
sympy.integrals.rubi.rules.sine.replacement2371(),0.43
sympy.integrals.rubi.utility_function.RectifyTangent(),0.41
sympy.integrals.rubi.utility_function.RectifyCotangent(),0.4
sympy.integrals.rubi.rules.inverse_trig.replacement5223(),0.38
sympy.integrals.rubi.rules.secant.replacement4260(),0.37
sympy.integrals.rubi.rules.secant.replacement4372(),0.36
sympy.integrals.rubi.rules.secant.replacement4366(),0.35
sympy.integrals.rubi.rules.secant.replacement4352(),0.34
sympy.integrals.rubi.rules.sine.replacement2738(),0.33
sympy.integrals.rubi.rules.sine.replacement3066(),0.31
sympy.physics.vector.functions.kinematic_equations(),0.3
sympy.integrals.rubi.rules.secant.replacement4273(),0.29
sympy.functions.elementary.exponential.exp.eval(),0.28
sympy.integrals.rubi.rules.secant.replacement4373(),0.27
sympy.functions.elementary.complexes.re.eval(),0.25
sympy.integrals.rubi.rules.sine.replacement2737(),0.22
sympy.integrals.rubi.rules.sine.replacement3065(),0.2
sympy.integrals.rubi.rules.sine.replacement3079(),0.19
sympy.integrals.rubi.rules.sine.replacement3022(),0.17
sympy.integrals.rubi.rules.sine.replacement3020(),0.16
sympy.integrals.rubi.rules.sine.replacement3021(),0.15
sympy.core.logic.fuzzy_or(),0.14
sympy.integrals.rubi.rules.sine.replacement3019(),0.13
sympy.integrals.rubi.rules.secant.replacement4354(),0.11
sympy.functions.elementary.trigonometric.atan2.eval(),0.1
sympy.integrals.rubi.rules.secant.replacement4340(),0.08
sympy.integrals.rubi.rules.sine.replacement3087(),0.07
sympy.integrals.rubi.rules.inverse_trig.replacement5234(),0.06
sympy.integrals.rubi.rules.sine.replacement2914(),0.04
sympy.integrals.rubi.rules.secant.replacement4124(),0.02
