Method,Suspiciousness
sympy.parsing.sympy_parser.parse_expr(),1.0
sympy.parsing.autolev._antlr.autolevparser.AutolevParser.prog(),0.99
sympy.parsing.sympy_parser.eval_expr(),0.97
sympy.core.sympify.sympify(),0.96
sympy.core.symbol.var(),0.95
sympy.parsing.sympy_parser.stringify_expr(),0.93
sympy.parsing.sympy_parser._apply_functions(),0.91
sympy.parsing.sympy_parser.function_exponentiation(),0.85
sympy.core.symbol.symbols(),0.84
sympy.parsing.ast_parser.Transform.__init__(),0.83
sympy.parsing.sympy_parser._inner(),0.82
sympy.core.symbol.traverse(),0.81
sympy.core.function.Function.class_key(),0.79
sympy.parsing.sympy_parser._transform_equals_sign(),0.77
sympy.parsing.sympy_parser.rationalize(),0.76
sympy.core.function.UndefinedFunction.__new__(),0.75
sympy.parsing.sympy_parser.repeated_decimals(),0.74
sympy.parsing.sympy_parser.factorial_notation(),0.72
sympy.parsing.sympy_parser.lambda_notation(),0.71
sympy.parsing.sympy_parser._token_callable(),0.7
sympy.parsing.sympy_parser.implicit_application(),0.67
sympy.polys.rings.PolyElement.as_expr(),0.66
sympy.core.function.UndefinedFunction.__hash__(),0.63
sympy.integrals.risch.DifferentialExtension.__getattr__(),0.62
sympy.core.function.Function.__new__(),0.6
sympy.parsing.sympy_parser._implicit_multiplication(),0.59
sympy.utilities.runtests.PyTestReporter.write_exception(),0.56
sympy.physics.vector.frame.ReferenceFrame.__init__(),0.55
sympy.utilities.runtests.PyTestReporter.finish(),0.54
sympy.parsing.sympy_parser.convert_equals_signs(),0.53
sympy.utilities.runtests.PyTestReporter.leaving_filename(),0.5
sympy.parsing.sympy_parser._split_symbols(),0.48
sympy.parsing.sympy_parser.implicit_multiplication(),0.45
sympy.utilities.runtests.PyTestReporter.test_fail(),0.44
sympy.utilities.lambdify.sub_expr(),0.43
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitFunctionCall(),0.41
sympy.utilities.runtests.SymPyTests.test_file(),0.4
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitFunction(),0.37
sympy.core.symbol._filter_assumptions(),0.35
sympy.physics.mechanics.functions.msubs(),0.27
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitExponent(),0.26
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitMulDiv(),0.23
sympy.parsing.sympy_parser.evaluateFalse(),0.2
sympy.parsing.sympy_parser.EvaluateFalseTransformer.visit_BinOp(),0.18
sympy.parsing.autolev._listener_autolev_antlr.MyListener.exitAddSub(),0.17
sympy.stats.crv.SingleContinuousPSpace.compute_expectation(),0.16
sympy.stats.crv.ContinuousPSpace.compute_expectation(),0.15
sympy.parsing.sympy_parser.AppliedFunction.expand(),0.14
sympy.utilities.lambdify.lambdastr(),0.08
sympy.polys.rings.vring(),0.07
sympy.parsing.sympy_parser._add_factorial_tokens(),0.06
sympy.combinatorics.free_groups.vfree_group(),0.05
sympy.parsing.sympy_parser._token_splittable(),0.04
sympy.combinatorics.free_groups.xfree_group(),0.03
