Statement,Suspiciousness
sympy.polys.compatibility#207,1.0
sympy.testing.runtests#2269,0.99
sympy.polys.compatibility#208,0.98
sympy.testing.runtests#2274,0.97
sympy.__init__#295,0.96
sympy.testing.runtests#2273,0.95
sympy.testing.runtests#2288,0.94
sympy.solvers.diophantine.diophantine#2362,0.93
sympy.testing.runtests#2165,0.92
sympy.polys.polyclasses#120,0.91
sympy.testing.runtests#2166,0.9
sympy.testing.runtests#2272,0.89
sympy.integrals.rubi.utility_function#22,0.88
sympy.polys.densebasic#1657,0.87
sympy.polys.densebasic#1651,0.86
sympy.integrals.rationaltools#230,0.85
sympy.polys.__init__#68,0.84
sympy.polys.densebasic#1655,0.83
sympy.core.exprtools#749,0.82
sympy.core.exprtools#750,0.81
sympy.solvers.diophantine.diophantine#2326,0.8
sympy.polys.polytools#3416,0.79
sympy.polys.polyclasses#786,0.78
sympy.polys.polytools#6218,0.77
sympy.polys.factortools#66,0.76
sympy.polys.densebasic#1472,0.75
sympy.polys.rationaltools#79,0.74
sympy.integrals.rde#117,0.73
sympy.polys.polytools#3233,0.72
sympy.polys.polytools#3232,0.71
sympy.integrals.rubi.rules.special_functions#852,0.7
sympy.polys.factortools#1283,0.69
sympy.integrals.rubi.rules.special_functions#1112,0.68
sympy.polys.polytools#5883,0.67
sympy.integrals.rubi.rules.special_functions#1016,0.66
sympy.polys.factortools#1242,0.65
sympy.polys.polytools#5880,0.64
sympy.polys.sqfreetools#400,0.63
sympy.integrals.rubi.rules.special_functions#1020,0.62
sympy.polys.sqfreetools#29,0.61
sympy.polys.compatibility#876,0.6
sympy.polys.sqfreetools#405,0.59
sympy.polys.compatibility#883,0.58
sympy.polys.compatibility#880,0.57
sympy.polys.compatibility#886,0.56
sympy.polys.sqfreetools#414,0.55
sympy.polys.sqfreetools#423,0.54
sympy.polys.polyclasses#791,0.53
sympy.polys.rootisolation#1645,0.52
sympy.testing.runtests#1291,0.51
sympy.polys.sqfreetools#356,0.5
sympy.testing.runtests#1295,0.49
sympy.testing.runtests#1294,0.48
sympy.polys.sqfreetools#447,0.47
sympy.polys.galoistools#2190,0.46
sympy.testing.runtests#2301,0.45
sympy.polys.partfrac#379,0.44
sympy.polys.sqfreetools#385,0.43
sympy.polys.sqfreetools#299,0.42
sympy.polys.polytools#3235,0.41
sympy.polys.compatibility#873,0.4
sympy.polys.sqfreetools#384,0.39
sympy.polys.sqfreetools#396,0.38
sympy.polys.sqfreetools#394,0.37
sympy.polys.polytools#3253,0.36
sympy.polys.sqfreetools#390,0.35
sympy.polys.sqfreetools#308,0.34
sympy.polys.sqfreetools#306,0.33
sympy.polys.compatibility#872,0.32
sympy.polys.compatibility#879,0.31
sympy.polys.compatibility#885,0.3
sympy.polys.compatibility#882,0.29
sympy.polys.sqfreetools#325,0.28
sympy.polys.sqfreetools#315,0.27
sympy.polys.compatibility#888,0.26
sympy.polys.galoistools#1567,0.25
sympy.polys.galoistools#1582,0.24
sympy.polys.sqfreetools#321,0.23
sympy.polys.sqfreetools#326,0.22
sympy.polys.euclidtools#865,0.21
sympy.polys.polyclasses#789,0.2
sympy.polys.galoistools#1596,0.19
sympy.polys.polyclasses#784,0.18
sympy.polys.sqfreetools#440,0.17
sympy.polys.euclidtools#895,0.16
sympy.polys.polytools#6214,0.15
sympy.polys.sqfreetools#445,0.14
sympy.polys.polytools#6381,0.13
sympy.polys.densearith#178,0.12
sympy.polys.euclidtools#894,0.11
sympy.polys.densearith#185,0.1
sympy.polys.sqfreetools#264,0.09
sympy.integrals.prde#1030,0.08
sympy.polys.densearith#155,0.07
sympy.polys.sqfreetools#388,0.06
sympy.polys.factortools#934,0.05
sympy.polys.sqfreetools#281,0.04
sympy.polys.factortools#936,0.03
sympy.polys.factortools#937,0.02
sympy.polys.factortools#939,0.01
