Method,Suspiciousness,ef,ep
sympy.core.expr.Expr.series(),1.0,1,0
sympy.core.expr._n2(),1.0,1,0
sympy.core.function.Derivative.__new__(),1.0,1,0
sympy.core.function.Function._eval_derivative(),1.0,1,0
sympy.core.mul.Mul._eval_nseries(),1.0,1,0
sympy.core.operations.LatticeOp.__new__(),1.0,1,0
sympy.core.operations.LatticeOp._new_args_filter(),1.0,1,0
sympy.core.relational.Equality.__new__(),1.0,1,0
sympy.core.relational.Relational.__new__(),1.0,1,0
sympy.core.relational.Relational.canonical(),1.0,1,0
sympy.core.relational.Relational.lhs(),1.0,1,0
sympy.core.relational.Relational.rhs(),1.0,1,0
sympy.core.relational.Unequality.__new__(),1.0,1,0
sympy.functions.elementary.piecewise.ExprCondPair.__iter__(),1.0,1,0
sympy.functions.elementary.piecewise.ExprCondPair.__new__(),1.0,1,0
sympy.functions.elementary.piecewise.ExprCondPair.cond(),1.0,1,0
sympy.functions.elementary.piecewise.ExprCondPair.expr(),1.0,1,0
sympy.functions.elementary.piecewise.Piecewise.__eval_cond(),1.0,1,0
sympy.functions.elementary.piecewise.Piecewise.__new__(),1.0,1,0
sympy.functions.elementary.piecewise.Piecewise.eval(),1.0,1,0
sympy.functions.elementary.trigonometric.sinc._eval_nseries(),1.0,1,0
sympy.functions.elementary.trigonometric.sinc._eval_rewrite_as_jn(),1.0,1,0
sympy.functions.elementary.trigonometric.sinc._eval_rewrite_as_sin(),1.0,1,0
sympy.functions.elementary.trigonometric.sinc.eval(),1.0,1,0
sympy.functions.elementary.trigonometric.sinc.fdiff(),1.0,1,0
sympy.functions.special.bessel.BesselBase.eval(),1.0,1,0
sympy.logic.boolalg.Boolean.__invert__(),1.0,1,0
sympy.logic.boolalg.Not.eval(),1.0,1,0
sympy.logic.boolalg.Or._new_args_filter(),1.0,1,0
sympy.utilities.runtests.PyTestReporter.finish(),1.0,1,0
sympy.utilities.runtests.PyTestReporter.leaving_filename(),1.0,1,0
sympy.utilities.runtests.PyTestReporter.test_fail(),1.0,1,0
sympy.utilities.runtests.PyTestReporter.test_skip(),1.0,1,0
sympy.utilities.runtests.PyTestReporter.write_exception(),1.0,1,0
sympy.utilities.runtests.SymPyTests.test_file(),1.0,1,0
sympy.core.add.Add.flatten(),0.7071067811865475,1,1
sympy.core.basic.Atom._eval_simplify(),0.7071067811865475,1,1
sympy.core.basic.Basic.atoms(),0.7071067811865475,1,1
sympy.core.expr.Expr.as_coeff_exponent(),0.7071067811865475,1,1
sympy.core.mul.Mul.flatten(),0.7071067811865475,1,1
sympy.core.numbers.Integer.__add__(),0.7071067811865475,1,1
sympy.core.numbers.Integer.__mod__(),0.7071067811865475,1,1
sympy.core.numbers.Number.as_coeff_mul(),0.7071067811865475,1,1
sympy.core.operations.AssocOp.__new__(),0.7071067811865475,1,1
sympy.core.power.Pow._eval_nseries(),0.7071067811865475,1,1
sympy.functions.elementary.trigonometric.sin.taylor_term(),0.7071067811865475,1,1
sympy.series.order.Order.as_expr_variables(),0.7071067811865475,1,1
sympy.series.order.Order.contains(),0.7071067811865475,1,1
sympy.simplify.powsimp.powsimp(),0.7071067811865475,1,1
sympy.core.expr.Expr.as_independent(),0.5773502691896258,1,2
sympy.core.expr.Expr.as_leading_term(),0.5773502691896258,1,2
sympy.core.numbers.Integer.__rsub__(),0.5773502691896258,1,2
sympy.functions.elementary.trigonometric.sin.eval(),0.5773502691896258,1,2
sympy.series.order.Order.__new__(),0.5773502691896258,1,2
sympy.sets.sets.FiniteSet.__len__(),0.5773502691896258,1,2
sympy.simplify.radsimp.collect(),0.5773502691896258,1,2
sympy.simplify.radsimp.fraction(),0.5773502691896258,1,2
sympy.simplify.radsimp.parse_expression(),0.5773502691896258,1,2
sympy.functions.elementary.trigonometric._pi_coeff(),0.5,1,3
sympy.functions.elementary.trigonometric.cos.eval(),0.5,1,3
sympy.core.add.Add._eval_derivative(),0.4472135954999579,1,4
