Method,Suspiciousness,ef,ep
sympy.core.add.Add.as_coefficients_dict(),1.0,1,0
sympy.core.containers.Tuple.__ne__(),1.0,1,0
sympy.core.expr.Expr.__pow__(),1.0,1,0
sympy.core.mod.Mod._eval_is_nonpositive(),1.0,1,0
sympy.core.mod.Mod.doit(),1.0,1,0
sympy.core.mod.Mod.eval(),1.0,1,0
sympy.core.numbers.igcdex(),1.0,1,0
sympy.core.power.Pow._eval_Mod(),1.0,1,0
sympy.core.power.Pow.as_real_imag(),1.0,1,0
sympy.core.relational.Equality.__new__(),1.0,1,0
sympy.functions.elementary.complexes.Abs.eval(),1.0,1,0
sympy.functions.elementary.complexes.conjugate._eval_is_algebraic(),1.0,1,0
sympy.functions.elementary.trigonometric.sin._eval_conjugate(),1.0,1,0
sympy.ntheory.factor_.totient._from_factors(),1.0,1,0
sympy.ntheory.factor_.totient.eval(),1.0,1,0
sympy.ntheory.residue_ntheory._discrete_log_trial_mul(),1.0,1,0
sympy.ntheory.residue_ntheory._is_nthpow_residue_bign(),1.0,1,0
sympy.ntheory.residue_ntheory._is_nthpow_residue_bign_prime_power(),1.0,1,0
sympy.ntheory.residue_ntheory._nthroot_mod1(),1.0,1,0
sympy.ntheory.residue_ntheory._nthroot_mod2(),1.0,1,0
sympy.ntheory.residue_ntheory._primitive_root_prime_iter(),1.0,1,0
sympy.ntheory.residue_ntheory._product(),1.0,1,0
sympy.ntheory.residue_ntheory._sqrt_mod_prime_power(),1.0,1,0
sympy.ntheory.residue_ntheory.discrete_log(),1.0,1,0
sympy.ntheory.residue_ntheory.is_nthpow_residue(),1.0,1,0
sympy.ntheory.residue_ntheory.is_primitive_root(),1.0,1,0
sympy.ntheory.residue_ntheory.n_order(),1.0,1,0
sympy.ntheory.residue_ntheory.nthroot_mod(),1.0,1,0
sympy.ntheory.residue_ntheory.primitive_root(),1.0,1,0
sympy.ntheory.residue_ntheory.sqrt_mod(),1.0,1,0
sympy.ntheory.residue_ntheory.sqrt_mod_iter(),1.0,1,0
sympy.polys.galoistools.gf_crt1(),1.0,1,0
sympy.polys.galoistools.gf_crt2(),1.0,1,0
sympy.polys.polytools.invert(),1.0,1,0
sympy.printing.str.StrPrinter._print_Mul(),1.0,1,0
sympy.printing.str.StrPrinter._print_Naturals0(),1.0,1,0
