Method,Suspiciousness,ef,ep
sympy.core.assumptions._ask(),1.0,1,0
sympy.core.function.Derivative.__new__(),1.0,1,0
sympy.core.logic.fuzzy_not(),1.0,1,0
sympy.core.numbers.Integer.__index__(),1.0,1,0
sympy.core.numbers.Integer._eval_is_composite(),1.0,1,0
sympy.core.numbers.Integer._eval_is_prime(),1.0,1,0
sympy.core.numbers.Rational._eval_is_zero(),1.0,1,0
sympy.core.symbol.Symbol._diff_wrt(),1.0,1,0
sympy.core.symbol.Symbol.free_symbols(),1.0,1,0
sympy.ntheory.primetest.isprime(),1.0,1,0
sympy.testing.runtests.PyTestReporter.finish(),1.0,1,0
sympy.testing.runtests.PyTestReporter.leaving_filename(),1.0,1,0
sympy.testing.runtests.PyTestReporter.test_fail(),1.0,1,0
sympy.testing.runtests.PyTestReporter.write_exception(),1.0,1,0
sympy.testing.runtests.SymPyTests.test_file(),1.0,1,0
sympy.core.assumptions.check_assumptions(),0.7071067811865475,1,1
sympy.core.symbol.Str.__new__(),0.7071067811865475,1,1
sympy.matrices.expressions.matexpr.MatrixExpr._check_dim(),0.7071067811865475,1,1
sympy.matrices.expressions.matexpr.MatrixSymbol.__new__(),0.7071067811865475,1,1
sympy.core.assumptions.StdFactKB.__init__(),0.5773502691896258,1,2
sympy.core.assumptions.StdFactKB.copy(),0.5773502691896258,1,2
sympy.core.assumptions.StdFactKB.generator(),0.5773502691896258,1,2
sympy.core.assumptions.getit(),0.5773502691896258,1,2
sympy.core.containers.Tuple.__iter__(),0.5773502691896258,1,2
sympy.logic.boolalg.BooleanTrue.__bool__(),0.5773502691896258,1,2
sympy.core.containers.Tuple.__len__(),0.5,1,3
sympy.core.containers.Tuple.__new__(),0.4082482904638631,1,5
bin.get_sympy.path_hack(),0.35355339059327373,1,7
sympy.__init__.__sympy_debug(),0.35355339059327373,1,7
sympy.__init__.enable_warnings(),0.35355339059327373,1,7
sympy.assumptions.assume.PredicateMeta.__new__(),0.35355339059327373,1,7
sympy.core.assumptions.ManagedProperties.__init__(),0.35355339059327373,1,7
sympy.core.assumptions.as_property(),0.35355339059327373,1,7
sympy.core.assumptions.make_property(),0.35355339059327373,1,7
sympy.core.basic.Basic.__eq__(),0.35355339059327373,1,7
sympy.core.basic.Basic.__new__(),0.35355339059327373,1,7
sympy.core.basic.Basic._exec_constructor_postprocessors(),0.35355339059327373,1,7
sympy.core.basic.Basic._hashable_content(),0.35355339059327373,1,7
sympy.core.basic.Basic.args(),0.35355339059327373,1,7
sympy.core.cache.__cacheit(),0.35355339059327373,1,7
sympy.core.cache._cache.clear_cache(),0.35355339059327373,1,7
sympy.core.cache._getenv(),0.35355339059327373,1,7
sympy.core.cache.func_wrapper(),0.35355339059327373,1,7
sympy.core.cache.wrapper(),0.35355339059327373,1,7
sympy.core.compatibility._nodes(),0.35355339059327373,1,7
sympy.core.compatibility.as_int(),0.35355339059327373,1,7
sympy.core.compatibility.default_sort_key(),0.35355339059327373,1,7
sympy.core.compatibility.is_sequence(),0.35355339059327373,1,7
sympy.core.compatibility.iterable(),0.35355339059327373,1,7
sympy.core.compatibility.ordered(),0.35355339059327373,1,7
sympy.core.core.BasicMeta.__init__(),0.35355339059327373,1,7
sympy.core.core.Registry.__setattr__(),0.35355339059327373,1,7
sympy.core.decorators._SympifyWrapper.__init__(),0.35355339059327373,1,7
sympy.core.decorators._SympifyWrapper._func(),0.35355339059327373,1,7
sympy.core.decorators._SympifyWrapper.make_wrapped(),0.35355339059327373,1,7
sympy.core.decorators.__sympifyit(),0.35355339059327373,1,7
sympy.core.decorators._sympifyit(),0.35355339059327373,1,7
sympy.core.decorators.binary_op_wrapper(),0.35355339059327373,1,7
sympy.core.decorators.call_highest_priority(),0.35355339059327373,1,7
sympy.core.decorators.deco(),0.35355339059327373,1,7
sympy.core.decorators.deprecated(),0.35355339059327373,1,7
sympy.core.decorators.deprecated_decorator(),0.35355339059327373,1,7
sympy.core.decorators.priority_decorator(),0.35355339059327373,1,7
sympy.core.decorators.sympify_method_args(),0.35355339059327373,1,7
sympy.core.decorators.sympify_return(),0.35355339059327373,1,7
sympy.core.decorators.wrapper(),0.35355339059327373,1,7
sympy.core.evalf._create_evalf_table(),0.35355339059327373,1,7
sympy.core.expr.Expr.__hash__(),0.35355339059327373,1,7
sympy.core.expr.Expr.__neg__(),0.35355339059327373,1,7
sympy.core.expr.Expr.__pow__(),0.35355339059327373,1,7
sympy.core.expr.Expr._eval_power(),0.35355339059327373,1,7
sympy.core.expr.Expr._hashable_content(),0.35355339059327373,1,7
sympy.core.expr.Expr._pow(),0.35355339059327373,1,7
sympy.core.facts.FactKB.__init__(),0.35355339059327373,1,7
sympy.core.facts.FactKB._tell(),0.35355339059327373,1,7
sympy.core.facts.FactKB.deduce_all_facts(),0.35355339059327373,1,7
sympy.core.facts.FactRules.__init__(),0.35355339059327373,1,7
sympy.core.facts.Prover.__init__(),0.35355339059327373,1,7
sympy.core.facts.Prover._process_rule(),0.35355339059327373,1,7
sympy.core.facts.Prover.process_rule(),0.35355339059327373,1,7
sympy.core.facts.Prover.rules_alpha(),0.35355339059327373,1,7
sympy.core.facts.Prover.rules_beta(),0.35355339059327373,1,7
sympy.core.facts.Prover.split_alpha_beta(),0.35355339059327373,1,7
sympy.core.facts._as_pair(),0.35355339059327373,1,7
sympy.core.facts._base_fact(),0.35355339059327373,1,7
sympy.core.facts.apply_beta_to_alpha_route(),0.35355339059327373,1,7
sympy.core.facts.deduce_alpha_implications(),0.35355339059327373,1,7
