Method,Suspiciousness,ef,ep
sympy.core.add.Add.__neg__(),1.0,2,0
sympy.core.add.Add._eval_is_positive(),1.0,2,0
sympy.core.add.Add._eval_is_zero(),1.0,2,0
sympy.core.add.Add._eval_power(),1.0,2,0
sympy.core.add.Add.class_key(),1.0,2,0
sympy.core.add.Add.flatten(),1.0,2,0
sympy.core.add.Add.primitive(),1.0,2,0
sympy.core.basic.Atom.class_key(),1.0,2,0
sympy.core.basic.Basic._has(),1.0,2,0
sympy.core.basic.Basic._xreplace(),1.0,2,0
sympy.core.basic.Basic.compare(),1.0,2,0
sympy.core.core.BasicMeta.__cmp__(),1.0,2,0
sympy.core.expr.Expr.__complex__(),1.0,2,0
sympy.core.expr.Expr._eval_is_positive(),1.0,2,0
sympy.core.expr.Expr._parse_order(),1.0,2,0
sympy.core.expr.Expr.args_cnc(),1.0,2,0
sympy.core.expr.Expr.as_ordered_terms(),1.0,2,0
sympy.core.expr.Expr.as_terms(),1.0,2,0
sympy.core.expr.Expr.could_extract_minus_sign(),1.0,2,0
sympy.core.expr.Expr.extract_multiplicatively(),1.0,2,0
sympy.core.expr.Expr.key(),1.0,2,0
sympy.core.expr.Expr.neg(),1.0,2,0
sympy.core.expr.Expr.sort_key(),1.0,2,0
sympy.core.logic.fuzzy_and(),1.0,2,0
sympy.core.mul.Mul._eval_herm_antiherm(),1.0,2,0
sympy.core.mul.Mul._eval_is_antihermitian(),1.0,2,0
sympy.core.mul.Mul._eval_is_imaginary(),1.0,2,0
sympy.core.mul.Mul._eval_pos_neg(),1.0,2,0
sympy.core.mul.Mul._eval_power(),1.0,2,0
sympy.core.mul.Mul._eval_real_imag(),1.0,2,0
sympy.core.mul.Mul.flatten(),1.0,2,0
sympy.core.mul._keep_coeff(),1.0,2,0
sympy.core.numbers.Float._as_mpf_val(),1.0,2,0
sympy.core.numbers.Float._eval_power(),1.0,2,0
sympy.core.numbers.ImaginaryUnit._eval_power(),1.0,2,0
sympy.core.numbers.Integer._eval_power(),1.0,2,0
sympy.core.numbers.NegativeOne._eval_power(),1.0,2,0
sympy.core.numbers.Number.__add__(),1.0,2,0
sympy.core.numbers.Number.__float__(),1.0,2,0
sympy.core.numbers.Rational.__add__(),1.0,2,0
sympy.core.operations.AssocOp._from_args(),1.0,2,0
sympy.core.operations.AssocOp.make_args(),1.0,2,0
sympy.core.power.Pow._eval_expand_power_base(),1.0,2,0
sympy.core.power.Pow._eval_power(),1.0,2,0
sympy.functions.elementary.miscellaneous.sqrt(),1.0,2,0
