Method,Suspiciousness,ef,ep
sympy.abc.clashing(),1.0,1,0
sympy.core.add.Add.flatten(),1.0,1,0
sympy.core.assumptions._ask(),1.0,1,0
sympy.core.basic.Basic.__ne__(),1.0,1,0
sympy.core.basic.Basic.compare(),1.0,1,0
sympy.core.core.BasicMeta.__cmp__(),1.0,1,0
sympy.core.core.BasicMeta.__gt__(),1.0,1,0
sympy.core.core.BasicMeta.__lt__(),1.0,1,0
sympy.core.decorators.__sympifyit_wrapper(),1.0,1,0
sympy.core.expr.Expr.__div__(),1.0,1,0
sympy.core.expr.Expr.__pow__(),1.0,1,0
sympy.core.expr.Expr.__rdiv__(),1.0,1,0
sympy.core.expr.Expr.__rmul__(),1.0,1,0
sympy.core.expr.Expr._eval_power(),1.0,1,0
sympy.core.expr.Expr.args_cnc(),1.0,1,0
sympy.core.expr.Expr.as_coeff_Mul(),1.0,1,0
sympy.core.expr.Expr.is_number(),1.0,1,0
sympy.core.function._coeff_isneg(),1.0,1,0
sympy.core.logic.fuzzy_not(),1.0,1,0
sympy.core.mul.Mul._eval_is_zero(),1.0,1,0
sympy.core.mul.Mul._eval_power(),1.0,1,0
sympy.core.mul.Mul.as_coeff_Mul(),1.0,1,0
sympy.core.mul.Mul.flatten(),1.0,1,0
sympy.core.numbers.Float.__mul__(),1.0,1,0
sympy.core.numbers.Float.__new__(),1.0,1,0
sympy.core.numbers.Float._eval_is_finite(),1.0,1,0
sympy.core.numbers.Float._eval_is_zero(),1.0,1,0
sympy.core.numbers.Integer.__abs__(),1.0,1,0
sympy.core.numbers.Integer.__add__(),1.0,1,0
sympy.core.numbers.Integer.__mul__(),1.0,1,0
sympy.core.numbers.Integer.__neg__(),1.0,1,0
sympy.core.numbers.Integer.__rmul__(),1.0,1,0
sympy.core.numbers.Integer._eval_power(),1.0,1,0
sympy.core.numbers.NaN.__eq__(),1.0,1,0
sympy.core.numbers.NegativeOne.__abs__(),1.0,1,0
sympy.core.numbers.NegativeOne.__neg__(),1.0,1,0
sympy.core.numbers.Number.__div__(),1.0,1,0
sympy.core.numbers.Number.__mul__(),1.0,1,0
sympy.core.numbers.Number._as_mpf_op(),1.0,1,0
sympy.core.numbers.Number._eval_is_finite(),1.0,1,0
sympy.core.numbers.NumberSymbol.__eq__(),1.0,1,0
sympy.core.numbers.NumberSymbol.__hash__(),1.0,1,0
sympy.core.numbers.NumberSymbol.__ne__(),1.0,1,0
sympy.core.numbers.Rational.__div__(),1.0,1,0
sympy.core.numbers.Rational.__hash__(),1.0,1,0
sympy.core.numbers.Rational.__mul__(),1.0,1,0
sympy.core.numbers.Rational.__new__(),1.0,1,0
sympy.core.numbers.Rational._as_mpf_val(),1.0,1,0
sympy.core.numbers.Rational._eval_power(),1.0,1,0
sympy.core.numbers.Rational._hashable_content(),1.0,1,0
