Method,Suspiciousness,ef,ep
sympy.core.expr.Expr.as_coefficient(),1.0,2,0
sympy.core.expr.Expr.extract_multiplicatively(),1.0,2,0
sympy.core.numbers.NumberSymbol.__eq__(),1.0,2,0
sympy.core.operations.AssocOp._has_matcher(),1.0,2,0
sympy.core.operations.AssocOp._ncsplit(),1.0,2,0
sympy.core.operations.AssocOp.is_in(),1.0,2,0
sympy.core.power.Pow._eval_power(),1.0,2,0
sympy.functions.elementary.exponential.exp.eval(),1.0,2,0
sympy.functions.elementary.integers.RoundFunction._eval_is_integer(),1.0,2,0
sympy.functions.elementary.integers.RoundFunction._eval_is_real(),1.0,2,0
sympy.functions.elementary.integers.RoundFunction.eval(),1.0,2,0
sympy.functions.elementary.integers.floor._eval_is_negative(),1.0,2,0
sympy.functions.elementary.integers.floor._eval_is_nonnegative(),1.0,2,0
sympy.functions.elementary.integers.floor._eval_number(),1.0,2,0
sympy.utilities.runtests.PyTestReporter.finish(),1.0,2,0
sympy.utilities.runtests.PyTestReporter.leaving_filename(),1.0,2,0
sympy.utilities.runtests.PyTestReporter.test_fail(),1.0,2,0
sympy.utilities.runtests.PyTestReporter.write_exception(),1.0,2,0
sympy.utilities.runtests.SymPyTests.test_file(),1.0,2,0
sympy.core.basic.Basic.is_comparable(),0.8164965809277261,2,1
sympy.core.exprtools.Factors.__init__(),0.8164965809277261,2,1
sympy.core.logic.fuzzy_or(),0.8164965809277261,2,1
sympy.core.symbol.Symbol.as_real_imag(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.arg.eval(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.im._eval_is_algebraic(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.im._eval_is_complex(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.im._eval_is_finite(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.im._eval_is_zero(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.im.eval(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.re._eval_is_algebraic(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.re._eval_is_complex(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.re._eval_is_finite(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.re._eval_is_zero(),0.8164965809277261,2,1
sympy.functions.elementary.complexes.re.eval(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.ExpBase._eval_is_finite(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.ExpBase._eval_is_rational(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.ExpBase._eval_is_zero(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.ExpBase.exp(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.exp._eval_is_algebraic(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.exp._eval_is_complex(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.exp._eval_is_extended_positive(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.exp._eval_is_extended_real(),0.8164965809277261,2,1
sympy.functions.elementary.exponential.exp.complex_extended_negative(),0.8164965809277261,2,1
sympy.functions.elementary.trigonometric.atan2.eval(),0.8164965809277261,2,1
sympy.core.add.Add._eval_is_imaginary(),0.7071067811865475,2,2
sympy.core.evalf.evalf_trig(),0.7071067811865475,1,0
sympy.core.expr.Expr.__mod__(),0.7071067811865475,1,0
sympy.core.expr.Expr.as_ordered_factors(),0.7071067811865475,1,0
sympy.core.exprtools.Factors.as_expr(),0.7071067811865475,2,2
sympy.core.mod.Mod.doit(),0.7071067811865475,1,0
sympy.core.mod.Mod.eval(),0.7071067811865475,1,0
sympy.core.mul.Mul.as_real_imag(),0.7071067811865475,1,0
sympy.core.mul.Mul.flatten(),0.7071067811865475,2,2
sympy.core.numbers.Integer.__radd__(),0.7071067811865475,1,0
sympy.core.numbers.NegativeInfinity.__neg__(),0.7071067811865475,1,0
sympy.core.numbers.Number.__sub__(),0.7071067811865475,2,2
sympy.core.numbers.NumberSymbol._eval_evalf(),0.7071067811865475,2,2
sympy.core.numbers.Pi._as_mpf_val(),0.7071067811865475,2,2
sympy.core.numbers.Rational.__mod__(),0.7071067811865475,1,0
sympy.core.numbers.Rational.__sub__(),0.7071067811865475,2,2
sympy.core.power.Pow._eval_expand_multinomial(),0.7071067811865475,1,0
sympy.core.power.Pow.as_real_imag(),0.7071067811865475,1,0
