Method,Suspiciousness,ef,ep
sympy.physics.units.dimensions.DimensionSystem.is_dimensionless(),1.0,1,0
sympy.printing.str.StrPrinter._print_Mul(),1.0,1,0
sympy.testing.runtests.PyTestReporter.finish(),1.0,1,0
sympy.testing.runtests.PyTestReporter.leaving_filename(),1.0,1,0
sympy.testing.runtests.PyTestReporter.test_exception(),1.0,1,0
sympy.testing.runtests.PyTestReporter.write_exception(),1.0,1,0
sympy.testing.runtests.SymPyTests.test_file(),1.0,1,0
sympy.core.expr.Expr.__radd__(),0.7071067811865475,1,1
sympy.core.expr.Expr.sort_key(),0.7071067811865475,1,1
sympy.core.mul.Mul.as_ordered_factors(),0.7071067811865475,1,1
sympy.core.numbers.Rational._eval_power(),0.7071067811865475,1,1
sympy.functions.elementary.exponential.exp.eval(),0.7071067811865475,1,1
sympy.physics.units.dimensions.Dimension.__str__(),0.7071067811865475,1,1
sympy.physics.units.dimensions.Dimension.symbol(),0.7071067811865475,1,1
sympy.physics.units.unitsystem.UnitSystem._collect_factor_and_dimension(),0.7071067811865475,1,1
sympy.printing.precedence.precedence(),0.7071067811865475,1,1
sympy.printing.precedence.precedence_Mul(),0.7071067811865475,1,1
sympy.printing.printer.Printer._print(),0.7071067811865475,1,1
sympy.printing.printer.Printer.order(),0.7071067811865475,1,1
sympy.printing.str.StrPrinter._print_Function(),0.7071067811865475,1,1
sympy.printing.str.StrPrinter._print_Integer(),0.7071067811865475,1,1
sympy.printing.str.StrPrinter.parenthesize(),0.7071067811865475,1,1
sympy.printing.str.StrPrinter.stringify(),0.7071067811865475,1,1
sympy.core.expr.Expr.extract_multiplicatively(),0.5773502691896258,1,2
sympy.core.mul.Mul.as_two_terms(),0.5773502691896258,1,2
sympy.core.traversal.bottom_up(),0.5773502691896258,1,2
sympy.simplify.simplify.f(),0.5773502691896258,1,2
sympy.simplify.simplify.logcombine(),0.5773502691896258,1,2
sympy.core.basic.Atom.sort_key(),0.5,1,3
sympy.core.basic.Basic.is_comparable(),0.5,1,3
sympy.core.expr.Expr.__format__(),0.5,1,3
sympy.core.numbers.Integer.__mul__(),0.5,1,3
sympy.core.expr.Expr.as_coefficient(),0.4472135954999579,1,4
sympy.core.function.Function._eval_is_commutative(),0.4472135954999579,1,4
sympy.core.logic.fuzzy_and(),0.4472135954999579,1,4
sympy.core.mul.Mul.as_coeff_Mul(),0.4472135954999579,1,4
sympy.physics.units.dimensions.DimensionSystem._get_dimensional_dependencies_for_name(),0.4472135954999579,1,4
sympy.physics.units.dimensions._QuantityMapper.get_quantity_dimension(),0.4472135954999579,1,4
sympy.core.basic.Basic.__eq__(),0.4082482904638631,1,5
sympy.core.basic.Basic._do_eq_sympify(),0.4082482904638631,1,5
sympy.core.function.Application.func(),0.4082482904638631,1,5
sympy.physics.units.quantities.Quantity.dimension(),0.4082482904638631,1,5
sympy.physics.units.quantities.Quantity.scale_factor(),0.4082482904638631,1,5
sympy.core.function.Application.__new__(),0.3779644730092272,1,6
sympy.core.function.Function.__new__(),0.3779644730092272,1,6
sympy.core.function.Function._should_evalf(),0.3779644730092272,1,6
sympy.physics.units.dimensions.DimensionSystem.get_dimensional_dependencies(),0.3779644730092272,1,6
sympy.physics.units.unitsystem.UnitSystem.get_default_unit_system(),0.3779644730092272,1,6
sympy.printing.str.StrPrinter._print_Quantity(),0.3779644730092272,1,6
sympy.core.numbers.Integer.__radd__(),0.35355339059327373,1,7
sympy.ntheory.primetest.isprime(),0.2886751345948129,1,11
sympy.physics.units.unitsystem.UnitSystem.get_quantity_dimension(),0.2773500981126146,1,12
sympy.core.numbers.Integer._eval_is_composite(),0.22941573387056174,1,18
sympy.core.power.Pow._eval_is_extended_positive(),0.22941573387056174,1,18
sympy.assumptions.wrapper.AssumptionsWrapper.__new__(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_extended_negative(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_extended_nonnegative(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_extended_nonpositive(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_extended_positive(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_imaginary(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_infinite(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_irrational(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_odd(),0.22360679774997896,1,19
sympy.core.add.Add._eval_is_zero(),0.22360679774997896,1,19
sympy.core.add.Add.as_coeff_Add(),0.22360679774997896,1,19
sympy.core.add.Add.flatten(),0.22360679774997896,1,19
sympy.core.assumptions.StdFactKB.__init__(),0.22360679774997896,1,19
sympy.core.assumptions.StdFactKB.copy(),0.22360679774997896,1,19
sympy.core.assumptions.StdFactKB.generator(),0.22360679774997896,1,19
sympy.core.assumptions._ask(),0.22360679774997896,1,19
sympy.core.assumptions.getit(),0.22360679774997896,1,19
sympy.core.basic.Atom.class_key(),0.22360679774997896,1,19
sympy.core.basic.Basic.__ne__(),0.22360679774997896,1,19
sympy.core.basic.Basic.compare(),0.22360679774997896,1,19
sympy.core.basic.Basic.rec_replace(),0.22360679774997896,1,19
sympy.core.basic.Basic.replace(),0.22360679774997896,1,19
sympy.core.basic.Basic.walk(),0.22360679774997896,1,19
sympy.core.containers.Dict.__eq__(),0.22360679774997896,1,19
