Statement,Suspiciousness
sympy.matrices.expressions.matexpr#824,1.0
sympy.matrices.expressions.__init__#8,0.99
sympy.matrices.expressions.matexpr#22,0.98
sympy.matrices.expressions.matexpr#23,0.97
sympy.tensor.array.__init__#204,0.96
sympy.matrices.expressions.matexpr#182,0.95
sympy.tensor.array.sparse_ndim_array#6,0.94
sympy.matrices.expressions.matexpr#163,0.93
sympy.matrices.expressions.matexpr#159,0.92
sympy.matrices.expressions.matexpr#128,0.91
sympy.tensor.toperators#78,0.9
sympy.matrices.expressions.matexpr#136,0.89
sympy.matrices.__init__#25,0.88
sympy.matrices.expressions.blockmatrix#280,0.87
sympy.matrices.expressions.matexpr#134,0.86
sympy.matrices.expressions.matexpr#24,0.85
sympy.matrices.expressions.matpow#16,0.84
sympy.tensor.array.mutable_ndim_array#1,0.83
sympy.codegen.array_utils#571,0.82
sympy.codegen.array_utils#31,0.81
sympy.matrices.expressions.matpow#14,0.8
sympy.matrices.expressions.matpow#70,0.79
sympy.matrices.expressions.trace#43,0.78
sympy.matrices.expressions.matpow#55,0.77
sympy.codegen.array_utils#292,0.76
sympy.codegen.array_utils#239,0.75
sympy.tensor.array.array_comprehension#7,0.74
sympy.matrices.expressions.matpow#54,0.73
sympy.tensor.functions#13,0.72
sympy.matrices.expressions.matpow#72,0.71
sympy.matrices.expressions.matpow#60,0.7
sympy.matrices.expressions.matpow#80,0.69
sympy.matrices.expressions.matpow#82,0.68
sympy.tensor.indexed#149,0.67
sympy.matrices.expressions.matpow#84,0.66
sympy.matrices.expressions.matexpr#755,0.65
sympy.plotting.plot#34,0.64
sympy.matrices.expressions.matexpr#762,0.63
sympy.matrices.expressions.matexpr#752,0.62
sympy.matrices.expressions.matexpr#753,0.61
sympy.utilities.codegen#1381,0.6
sympy.utilities.runtests#2199,0.59
sympy.tensor.indexed#190,0.58
sympy.utilities.runtests#2141,0.57
sympy.utilities.codegen#1822,0.56
sympy.utilities.codegen#1589,0.55
sympy.utilities.runtests#2139,0.54
sympy.utilities.codegen#1820,0.53
sympy.assumptions.ask#1007,0.52
sympy.utilities.runtests#2245,0.51
sympy.utilities.runtests#2249,0.5
sympy.parsing.autolev.test-examples.ruletest7#18,0.49
sympy.parsing.autolev.test-examples.ruletest6#16,0.48
sympy.parsing.autolev.test-examples.ruletest7#21,0.47
sympy.parsing.autolev.test-examples.ruletest5#15,0.46
sympy.parsing.autolev.test-examples.ruletest5#16,0.45
sympy.utilities.runtests#1272,0.44
sympy.matrices.common#2325,0.43
sympy.utilities.runtests#2299,0.42
sympy.matrices.expressions.kronecker#8,0.41
sympy.utilities.runtests#1275,0.4
sympy.utilities.runtests#1277,0.39
sympy.matrices.expressions.matmul#11,0.38
sympy.matrices.expressions.matexpr#766,0.37
sympy.tensor.array.dense_ndim_array#121,0.36
sympy.matrices.expressions.matexpr#809,0.35
sympy.tensor.__init__#7,0.34
sympy.printing.pycode#508,0.33
sympy.tensor.tensor#2182,0.32
sympy.matrices.expressions.inverse#41,0.31
sympy.matrices.expressions.inverse#63,0.3
sympy.matrices.expressions.inverse#65,0.29
sympy.matrices.expressions.inverse#68,0.28
sympy.printing.str#724,0.27
sympy.codegen.array_utils#1091,0.26
sympy.tensor.array.sparse_ndim_array#114,0.25
sympy.utilities.lambdify#101,0.24
sympy.codegen.array_utils#582,0.23
sympy.simplify.cse_main#699,0.22
sympy.functions.elementary.complexes#324,0.21
sympy.printing.theanocode#175,0.2
sympy.tensor.array.__init__#105,0.19
sympy.functions.elementary.complexes#326,0.18
sympy.functions.elementary.complexes#320,0.17
sympy.printing.pycode#68,0.16
sympy.printing.pycode#69,0.15
sympy.matrices.expressions.hadamard#145,0.14
sympy.printing.str#572,0.13
sympy.matrices.expressions.matexpr#814,0.12
sympy.core.assumptions#321,0.11
sympy.core.assumptions#320,0.1
sympy.physics.quantum.qft#129,0.09
sympy.codegen.array_utils#1250,0.08
sympy.physics.vector.frame#2,0.07
sympy.matrices.__init__#27,0.06
sympy.printing.ccode#4,0.05
sympy.core.assumptions#316,0.04
sympy.core.assumptions#318,0.03
sympy.core.assumptions#315,0.02
sympy.utilities.codegen#1590,0.01
